date,code,close,open,high,low,volume,amount,turnover
2016/1/27,CI005010.CI,5618.736,"5,618.74","5,618.74","5,618.74","2,759.39",352.7188,1.9206
2016/1/27,CI005011.CI,5586.6262,"5,586.63","5,586.63","5,586.63","1,789.48",205.4334,2.1213
2016/1/27,CI005012.CI,7549.1547,"7,549.15","7,549.15","7,549.15",904.7687,159.2154,2.13
2016/1/27,CI005013.CI,5682.8904,"5,682.89","5,682.89","5,682.89","1,482.62",186.3921,1.6226
2016/1/27,CI005014.CI,5115.6586,"5,115.66","5,115.66","5,115.66","1,252.51",137.8966,2.0423
2016/1/27,CI005015.CI,7129.3396,"7,129.34","7,129.34","7,129.34",247.1154,37.6524,2.1006
2016/1/27,CI005016.CI,6573.9116,"6,573.91","6,573.91","6,573.91",884.8831,100.5241,2.058
2016/1/27,CI005017.CI,4167.5208,"4,167.52","4,167.52","4,167.52",839.7277,107.8369,2.3105
2016/1/27,CI005018.CI,8216.8645,"8,216.86","8,216.86","8,216.86","1,997.96",346.247,2.1022
2016/1/27,CI005019.CI,6585.3869,"6,585.39","6,585.39","6,585.39",850.5398,112.1607,1.7796
2016/1/27,CI005020.CI,4961.79,"4,961.79","4,961.79","4,961.79","1,020.55",108.494,2.4921
2016/1/27,CI005021.CI,5168.1247,"5,168.12","5,168.12","5,168.12","1,510.43",98.5209,0.1479
2016/1/27,CI005022.CI,6322.665,"6,322.67","6,322.67","6,322.67","1,900.80",248.5849,1.3628
2016/1/27,CI005023.CI,6375.7923,"6,375.79","6,375.79","6,375.79","2,917.99",275.335,1.8216
2016/1/27,CI005024.CI,1882.248,"1,882.25","1,882.25","1,882.25","1,683.94",137.9206,0.9198
2016/1/27,CI005025.CI,4231.0073,"4,231.01","4,231.01","4,231.01","2,641.43",337.4494,2.7459
2016/1/27,CI005026.CI,4309.4334,"4,309.43","4,309.43","4,309.43","1,173.22",171.2294,2.1393
2016/1/27,CI005027.CI,5981.4771,"5,981.48","5,981.48","5,981.48","1,603.20",367.4887,3.7179
2016/1/27,CI005028.CI,4865.6603,"4,865.66","4,865.66","4,865.66","1,269.38",258.9824,3.0115
2016/1/27,CI005029.CI,4952.748,"4,952.75","4,952.75","4,952.75",799.8145,77.7642,3.7558
2016/1/27,CI005030.CI,1808.3716,"1,808.37","1,808.37","1,808.37",0,0,0
2016/1/28,CI005001.CI,1837.3806,"1,837.38","1,837.38","1,837.38",710.6023,51.4864,0.2452
2016/1/28,CI005002.CI,1414.9882,"1,414.99","1,414.99","1,414.99",841.9769,53.3478,1.132
2016/1/28,CI005003.CI,3602.7742,"3,602.77","3,602.77","3,602.77","1,461.06",141.2287,1.3279
2016/1/28,CI005004.CI,2518.9287,"2,518.93","2,518.93","2,518.93","1,396.84",123.7804,0.8316
2016/1/28,CI005005.CI,1222.2388,"1,222.24","1,222.24","1,222.24","1,588.96",72.1848,1.218
2016/1/28,CI005006.CI,4140.7636,"4,140.76","4,140.76","4,140.76","1,953.64",233.3815,1.9518
