,CSI300,SP500,HSI,CR_GOV,CR_CORP,159934.SZ
2018-06-29,3.6004028827034786e-09,0.39376824657041665,0.29563701758186195,0.31059456815709513,4.9157111455600084e-08,1.1493311204716386e-07
2018-07-31,0.08237024244087073,2.5294549340903246e-09,4.494212966214757e-07,2.8369457690016035e-08,0.7123321017019589,0.2052971755369612
2018-08-31,4.381433183623837e-09,2.572684538025605e-10,1.1628511491118666e-10,0.7029677383907892,2.5777032049289696e-09,0.2970322542765209
2018-09-28,0.010099113501871558,0.23125184273594712,1.4045406231289602e-08,3.8231705105752225e-08,0.7586489871500754,4.33499442667123e-09
2018-10-31,0.3395810373751354,0.6604170181797148,2.379737985316564e-07,6.853952951701563e-07,3.412757548781582e-08,9.869484804182241e-07
2018-11-30,9.935851318904234e-08,3.7142636644830684e-07,8.137069410428444e-08,0.47669876412197815,5.5115885507681e-06,0.5232951721338974
2018-12-31,0.31000462517270244,4.121299006091703e-07,0.0,0.37999030365157654,3.3873117997020065e-08,0.31000462517270244
2019-01-31,2.50994490135312e-09,0.5547631851981972,9.402350135833926e-07,3.2909574067633488e-09,2.886310364180936e-09,0.4452358658795764
2019-02-28,0.07503807674269987,0.1736517985820405,0.03622607394911527,0.2109151593229495,0.5041685429989825,3.484042124398925e-07
2019-03-29,0.01674327091028617,0.23887935583101608,0.13193111211286732,0.612445729659964,3.5103026149485484e-07,1.804556049730374e-07
2019-04-30,0.14011045635796837,0.2485616088308663,0.28181791844178694,1.3179775809388893e-08,0.3295098501402672,1.5304933552794633e-07
2019-05-31,1.0921793108975866e-08,0.2851323688271822,1.518560741562242e-10,0.7148676153485064,4.448795906702578e-09,3.018663731544988e-10
2019-06-28,0.2792463523901863,0.3603768238049069,0.3603768238049069,0.0,0.0,0.0
2019-07-31,0.3161483619155725,2.9390446316516655e-07,0.2536577492018765,0.11404486917935788,3.6388315757868795e-07,0.3161483619155725
2019-08-30,0.0,0.49999995668640634,8.023161813589458e-08,0.0,6.395569261080634e-09,0.49999995668640634
2019-09-30,0.16501290678894792,2.6993392706919114e-08,1.2453018076585033e-07,4.2394489664905164e-07,0.83498645428565,6.34569319043689e-08
2019-10-31,6.819503168894258e-07,0.21403896623660928,1.0053521880690878e-09,1.2750220659628801e-08,0.7736441413239177,0.012316196733583237
2019-11-29,0.04353978519449134,0.21932058222378412,6.96429716918114e-09,0.7371393887263991,2.3685521702427912e-07,3.581142742861154e-11
2019-12-31,0.24982753665971416,1.3081941129146384e-09,1.1344487518193951e-06,0.3824747258357817,0.3009463680384797,0.06675023370907847
2020-01-31,3.0786739846393107e-10,0.14483436965332097,7.153544696915913e-11,0.6929924258000146,5.2561199544206986e-08,0.16217315160606208
2020-02-28,0.10826095795809591,5.283183287151914e-12,4.845501111509556e-09,0.7473758798689161,4.525374343260546e-10,0.14436315686966622
2020-03-31,0.0,0.9999998354287418,9.794102514798e-08,6.663023296881624e-08,0.0,0.0
2020-04-30,0.17748018978321478,0.5590899384893472,8.644271207451213e-08,2.8408199775416612e-08,2.557767038338498e-08,0.2634297312988558
2020-05-29,0.41138048632398844,5.6555118017936e-07,1.3828458324387446e-10,0.17723845798376311,3.678795219131158e-09,0.41138048632398844
2020-06-30,2.0265248981671227e-07,0.24527044120492505,7.062459495569499e-09,0.509457949577131,9.582980695463397e-07,0.24527044120492505
2020-07-31,2.1641086503238777e-08,1.2574875777683758e-09,2.447357479966033e-10,0.9999999701424056,6.602646324553323e-09,1.1163822244787275e-10
2020-08-31,0.49996635896039926,0.49996635896039926,1.2784702827833012e-07,5.896060196236611e-08,6.768419907151129e-08,6.702758737220007e-05
2020-09-30,0.46573957857431886,0.0,0.0,0.0,0.0,0.5342604214256811
2020-10-30,0.37183139081526795,0.37183139081526795,7.74102515742321e-07,1.5119761049908512e-07,0.25633627792041885,1.514891886432651e-08
2020-11-30,0.32311335838146754,0.26753845757079414,0.05010280514120979,0.13603748293926501,6.196238700851044e-09,0.22320788977102488
2020-12-31,0.49999895185690646,9.284979460800445e-07,0.49999895185690646,1.4746749272734273e-08,1.2636599662874684e-08,1.1404048920284255e-06
2021-01-29,4.895566495418261e-10,0.22074993225648323,6.173101385314597e-09,1.6763544855882374e-08,0.7792500432387011,1.078612870591953e-09
2021-02-26,0.13749579158449657,3.0860106086758056e-09,0.21896168251747775,1.2851058059220903e-10,0.6435425226759548,7.549719288793692e-12
2021-03-31,0.3383045428256443,1.041401577518147e-06,0.3383045428256443,0.32338545193161883,4.41202886824781e-06,8.986646847460392e-09
2021-04-30,0.2815977054350905,0.23068261351252375,0.2815977054350905,1.0288088742302067e-08,2.865074220389201e-09,0.2061219624641323
2021-05-31,1.7671537912316388e-09,0.21210415744124936,0.21210415744124936,0.5757916816195463,1.6312901069233076e-09,9.951103628523805e-11
2021-06-30,0.0,0.23630095098840193,9.995817194432095e-11,4.529511158922285e-11,0.7636990488630025,3.3421542969812576e-12
2021-07-30,0.35797427677698224,4.369013002100064e-06,0.6420210462338217,6.353611744120759e-08,1.913336627919803e-07,5.3106413721946485e-08
2021-08-31,7.442503917895933e-07,0.20802539602109305,0.29282635875934143,0.20632033475429995,8.074555323537306e-07,0.29282635875934143
2021-09-30,6.184246449826588e-08,0.17223246615371013,0.21625450271712002,0.6115127059810114,1.658356441150404e-08,2.467221295161246e-07
2021-10-29,1.7324017972487629e-07,0.49999901303467964,1.5721521936306743e-06,9.667570164221904e-08,1.318625655752198e-07,0.49999901303467964
2021-11-30,8.975268492432962e-07,0.38943654926969745,5.5673491524470154e-08,0.6105612726362278,1.2051435729204243e-06,1.975016104221479e-08
2021-12-31,0.21545915036077423,1.231663020391965e-07,0.0027202645852937735,0.7818204339378463,2.1666925088700646e-08,6.282858513300438e-09
2022-01-31,0.0,0.6109800843744707,7.515203382100935e-07,1.657386765478404e-07,0.38901770233862654,1.2960278880799558e-06
2022-02-28,0.47495676692559996,0.5250364871926771,8.493089882603345e-07,3.2575154763313537e-06,2.639057258146812e-06,0.0
2022-03-31,0.7342448123668556,0.0,0.2657543234799429,2.5496132195710237e-07,1.3837785858044871e-07,4.70814021076587e-07
2022-04-29,3.9978757372011964e-05,0.4999799575781171,0.4999799575781171,3.631354551915787e-08,3.7436598926120325e-08,3.2336249451057514e-08
2022-05-31,0.18774030411785517,1.0028331559245907e-06,0.5087473083909623,3.952287808453954e-07,0.3035109693308127,2.0098433115359748e-08
2022-06-30,6.763045211088796e-11,0.0016513179191018198,2.918861225359974e-11,0.9983486769649706,1.2434106040146648e-09,3.775697878840982e-09
2022-07-29,3.132385229695478e-06,0.4999984191442573,7.739240234490144e-09,1.0397798438189986e-08,1.1189217023140649e-08,0.4999984191442573
2022-08-31,1.556990120238675e-07,3.304129065106693e-09,1.6764543168920238e-07,0.6263087340420114,8.83728412913724e-08,0.37369085093657467
2022-09-30,0.1426639317082007,9.406057146580865e-10,4.6806186020297956e-08,2.3438740349381727e-08,0.36429718381866294,0.49303881328760424
2022-10-31,2.240048284627314e-08,0.4515054725234881,0.0,0.09698880177230762,2.3078023331846552e-07,0.4515054725234881
2022-11-30,0.16149830554362354,1.1786778280834442e-07,0.8385012430079899,1.101095982331002e-07,1.1462576208620622e-07,1.0884524359450263e-07
2022-12-30,1.49560945657914e-07,0.3078178462544019,1.677122093699246e-08,0.690052019181965,2.145034992814116e-07,0.0021297537279672115
2023-01-31,4.830775672828301e-07,7.017526694175301e-09,2.3267659494669247e-08,1.7756743118491328e-06,0.8919849750259874,0.10801273593694735
