排名,板块名称,板块代码,最新价,涨跌额,涨跌幅,总市值,换手率,上涨家数,下跌家数,领涨股票,领涨股票-涨跌幅
411,数据确权,BK1118,1581.63,-5.75,-0.36,266977456000,5.6,18,15,安妮股份,10.02
412,周期股,BK1639,993.87,-3.66,-0.37,25420807424000,1.03,31,63,天齐锂业,5.97
413,昨日触板,BK0817,24.36,-0.09,-0.37,473701376000,6.28,15,17,裕太微-U,13.42
414,成渝特区,BK0534,23420.08,-90.94,-0.39,2359569728000,1.75,33,49,华神科技,10.12
415,独家药品,BK0676,2521.85,-10.0,-0.39,705334064000,1.51,14,27,珍宝岛,6.15
416,中盘价值,BK1670,1021.85,-4.12,-0.4,4359622656000,1.3,40,79,衢州发展,9.9
417,显示技术,BK1651,978.01,-3.95,-0.4,829768624000,2.7,20,26,精测电子,6.66
418,酿酒概念,BK0477,43320.07,-174.11,-0.4,3019242352000,1.2,13,24,威龙股份,7.19
419,ERP概念,BK1133,1487.46,-6.15,-0.41,286842976000,2.48,12,10,友车科技,4.45
420,统一大市场,BK1077,1360.93,-5.72,-0.42,404876960000,1.98,18,20,西上海,3.97
421,腾讯云,BK1189,1103.52,-4.81,-0.43,605740256000,2.98,7,9,安硕信息,5.69
422,中特估,BK1139,1254.27,-5.5,-0.44,26569007616000,0.44,25,54,中国长城,9.99
423,2025三季报预减,BK1199,1350.78,-6.16,-0.45,74365945000,4.63,3,5,奥来德,2.67
424,红利破净股,BK1636,1055.74,-5.0,-0.47,13496431104000,0.3,13,24,香江控股,5.0
425,3D摄像头,BK0901,1717.13,-8.23,-0.48,757914304000,2.57,3,6,中光学,2.88
426,新能源,BK0493,20218.63,-98.65,-0.49,7760023040000,2.85,84,127,新赛股份,10.06
427,长期破净,BK1635,1002.73,-4.97,-0.49,15225644800000,0.73,70,103,金 融 街,10.07
428,空间计算,BK1143,1612.22,-7.91,-0.49,190716531000,2.89,13,11,华设集团,2.59
429,黄金概念,BK0547,21134.97,-106.36,-0.5,3301482912000,2.19,25,44,福达合金,9.99
430,东数西算,BK1064,2040.0,-10.19,-0.5,1610279632000,4.38,27,37,润建股份,10.01
431,熔盐储能,BK1103,1169.1,-6.15,-0.52,108279429000,1.46,4,7,蓝科高新,2.47
432,网络游戏,BK0509,14323.84,-76.59,-0.53,1223348656000,3.27,30,35,佳创视讯,5.29
433,2026—季报预减,BK1681,1014.22,-5.55,-0.54,215404940000,3.81,5,6,泰金新能,6.86
434,减肥药,BK1146,1284.88,-6.98,-0.54,904922240000,2.04,11,23,海创药业-U,7.95
435,IPO受益,BK0697,3454.67,-19.15,-0.55,2548757408000,1.74,16,35,交大昂立,5.03
436,天然气,BK0843,1904.24,-10.81,-0.56,6608949504000,1.0,42,80,杰瑞股份,7.66
437,PEEK材料概念,BK1156,1946.48,-10.93,-0.56,913456816000,3.88,23,21,恒勃股份,7.33
438,跨境支付,BK1071,1636.97,-9.79,-0.59,13105523968000,0.33,25,34,天阳科技,4.69
439,油气资源,BK1649,930.76,-5.55,-0.59,7050112000000,1.12,55,97,杰瑞股份,7.66
440,短剧互动游戏,BK1151,1358.09,-8.29,-0.61,550324800000,4.33,12,23,ST华谊,4.6
441,草甘膦,BK0950,1941.39,-11.82,-0.61,212858994000,2.25,2,11,安道麦A,10.0
442,固态电池,BK0968,2850.8,-17.72,-0.62,7417690368000,3.84,77,131,光莆股份,20.01
443,特高压,BK0918,3075.34,-19.55,-0.63,2259661024000,3.04,27,59,金风科技,7.07
444,价值股,BK1640,999.95,-6.46,-0.64,13522172928000,0.67,21,76,长城科技,10.0
445,维生素,BK0895,1974.93,-12.98,-0.65,500142544000,1.87,11,20,尔康制药,3.81
446,化工原料,BK0512,31664.78,-210.69,-0.66,1693063072000,3.19,26,49,丰元股份,10.01
447,汽车整车,BK1029,1748.19,-12.08,-0.69,2110030032000,1.55,6,17,众泰汽车,10.04
448,青蒿素,BK0872,2022.56,-14.62,-0.72,324493856000,1.86,1,9,南卫股份,4.78
449,煤化工概念,BK0492,12763.37,-92.06,-0.72,3336750928000,1.79,24,47,航天工程,10.01
450,电子竞技,BK0853,1460.22,-10.75,-0.73,2853867552000,2.53,14,20,北辰实业,9.89
451,风能,BK0595,2982.56,-22.34,-0.74,9393281024000,2.45,77,154,福达合金,9.99
452,石墨烯,BK0617,3056.17,-22.85,-0.74,1221586704000,3.93,26,41,鹏辉能源,6.3
453,小盘价值,BK1668,1015.1,-7.71,-0.75,5167707136000,2.28,95,218,安道麦A,10.0
454,ST股,BK0511,7395.66,-56.06,-0.75,1061843648000,2.03,95,119,ST合纵,12.65
455,长寿药,BK0936,1127.62,-8.74,-0.77,146837277000,3.64,4,9,友阿股份,5.65
456,磷化工,BK1010,1123.34,-9.22,-0.81,1316338048000,2.8,10,36,粤桂股份,9.99
457,有机硅概念,BK0961,1960.17,-16.29,-0.82,514171216000,4.12,13,22,德美化工,5.89
458,磁悬浮概念,BK0975,2461.33,-20.83,-0.84,862855472000,2.25,14,14,神剑股份,2.49
459,超超临界发电,BK1087,1632.77,-13.8,-0.84,1417926480000,1.8,16,33,争光股份,8.15
460,虚拟电厂,BK0958,2480.97,-21.14,-0.84,1090103648000,2.21,22,45,润建股份,10.01
461,大盘价值,BK1666,1004.1,-8.53,-0.84,31081324800000,0.53,27,69,天齐锂业,5.97
462,阿兹海默,BK0894,2066.43,-18.15,-0.87,272344736000,3.3,6,14,通化金马,3.14
463,雅下水电概念,BK1192,1327.58,-11.98,-0.89,1969778768000,1.77,17,38,浙富控股,4.76
464,超级电容,BK0703,5591.26,-52.25,-0.93,802426752000,3.97,13,18,博迁新材,10.0
465,钠离子电池,BK0988,2105.75,-19.69,-0.93,3573558928000,3.98,22,48,中国长城,9.99
466,GDR,BK0868,1179.32,-11.45,-0.96,1591767472000,1.97,3,8,明阳智能,4.14
467,光纤概念,BK1660,1140.5,-11.21,-0.97,3332890928000,3.1,20,44,光迅科技,8.59
468,环氧丙烷,BK1011,741.88,-7.4,-0.99,703123456000,2.02,9,14,中化国际,3.84
469,钒电池,BK1095,1450.13,-14.6,-1.0,595877248000,2.42,5,17,海德股份,10.07
470,宁组合,BK1000,670.44,-7.1,-1.05,5547826432000,2.18,5,18,北方华创,5.15
471,肝素概念,BK0944,921.87,-10.28,-1.1,214547177000,1.37,2,11,海普瑞,0.93
472,绿色电力,BK1024,1408.47,-15.97,-1.12,6699080192000,2.15,47,115,恒大高新,10.0
473,钛白粉概念,BK0805,1556.3,-19.5,-1.24,238858760000,2.41,1,11,国城矿业,4.34
474,IPv6,BK0897,1430.38,-18.61,-1.28,623624192000,1.82,5,8,普天科技,1.43
475,抽水蓄能,BK1003,2031.46,-28.32,-1.37,1209827392000,3.04,7,29,金风科技,7.07
476,3D玻璃,BK0881,1584.54,-21.96,-1.37,385169712000,3.57,3,11,凯盛科技,0.84
477,旅游酒店,BK0485,15907.64,-223.8,-1.39,375507376000,2.39,4,34,天府文旅,1.92
478,Kimi概念,BK1169,1270.4,-19.13,-1.48,491575936000,3.82,3,11,金山办公,1.08
479,2025三季报扭亏,BK1628,899.8,-13.73,-1.5,127819030000,1.54,2,9,罗欣药业,2.6
480,屏下摄像,BK0947,895.63,-13.81,-1.52,491791440000,2.49,1,7,中兴通讯,0.77
481,低碳冶金,BK0979,1041.27,-16.74,-1.58,305995664000,1.02,1,7,*ST八钢,1.08
482,氦气概念,BK0949,3250.19,-60.15,-1.82,276705728000,4.5,4,11,侨源股份,7.21
483,举牌,BK0685,3036.15,-66.5,-2.14,84993705000,0.9,1,3,*ST三六,1.2
484,超跌股,BK1671,895.79,-20.46,-2.23,27417722000,3.61,3,6,*ST动力,12.36
485,国资云概念,BK1008,1629.05,-40.97,-2.45,448088608000,3.22,4,16,浪潮软件,1.6
486,电子纸概念,BK1057,1163.08,-37.21,-3.1,340112640000,3.31,3,10,研奥股份,2.01
