,CI005001.CI,CI005002.CI,CI005003.CI,CI005004.CI,CI005005.CI,CI005006.CI,CI005007.CI,CI005008.CI,CI005009.CI,CI005010.CI,CI005011.CI,CI005012.CI,CI005013.CI,CI005014.CI,CI005015.CI,CI005016.CI,CI005017.CI,CI005018.CI,CI005019.CI,CI005020.CI,CI005021.CI,CI005022.CI,CI005023.CI,CI005024.CI,CI005025.CI,CI005026.CI,CI005027.CI,CI005028.CI,CI005029.CI,CI005030.CI
date,石油石化,煤炭,有色金属,电力及公用事业,钢铁,基础化工,建筑,建材,轻工制造,机械,电力设备及新能源,国防军工,汽车,商贸零售,消费者服务,家电,纺织服装,医药,食品饮料,农林牧渔,银行,非银行金融,房地产,交通运输,电子,通信,计算机,传媒,综合,综合金融
2020-04-30,0.3615,0.1106,1.0027,1.5188,0.9938,1.0384,1.3094,4.4571,1.6930,2.3557,1.2347,1.1184,1.9021,1.5508,6.0794,8.1747,0.4947,3.4435,5.4700,1.7092,1.3153,2.1891,1.9101,2.2974,2.4258,1.9442,1.8899,1.4948,0.4046,0.4212
2020-05-29,0.3780,0.1095,1.0245,1.5548,1.0580,1.1260,1.1246,4.2418,2.0782,2.3487,1.5543,1.1184,1.8884,1.7024,6.3142,8.6177,0.5666,3.7849,5.5112,1.6509,1.2801,2.1945,1.9043,2.3340,2.4668,2.0413,2.0229,1.6708,0.3462,0.6512
2020-06-30,0.4389,0.1129,1.2776,1.6805,1.1673,1.3545,1.0642,4.3018,2.1032,2.4785,1.8934,1.1816,2.0710,1.6677,7.1845,8.9510,0.5260,3.9873,5.6841,1.9230,1.2512,2.2546,1.9751,2.4703,2.9329,2.3240,2.1895,2.0419,0.4148,0.6058
2020-07-31,0.5280,0.2474,1.3285,1.6439,1.3571,1.4751,1.1574,4.6771,2.0352,2.7669,2.0508,1.3170,2.2978,1.6960,7.0457,9.2406,0.5223,3.8164,5.5372,1.9610,1.3380,2.2535,2.0702,2.4054,3.0032,2.4663,2.1659,1.9881,0.5380,0.7070
2020-08-31,0.5988,0.2629,1.2551,1.6873,1.3591,1.5739,1.1674,4.7096,2.2288,2.8445,2.0376,1.3314,2.3544,1.5895,6.4104,9.0092,0.6134,3.7908,5.5249,1.9163,1.4533,2.1775,2.1714,2.5437,2.8144,2.5316,2.0307,2.1414,0.4744,0.7531
2020-09-30,0.5361,0.2587,1.2147,1.6553,1.4959,1.6608,1.1810,4.5843,2.2561,2.9237,2.1134,1.1974,2.4265,1.5103,6.6156,8.9386,0.5719,3.7224,5.2700,1.7517,1.4015,2.0690,2.2123,2.4707,2.7214,2.4336,2.0012,2.2281,0.4348,0.6538
2020-10-30,0.5644,0.2384,1.1810,1.5914,1.6133,1.7863,1.1286,4.8185,2.2888,2.9803,2.2236,1.1750,2.4593,1.5665,6.3152,9.3685,0.5551,3.6783,5.2605,1.6047,1.5573,2.1069,2.1315,2.3464,2.7882,2.2460,2.0278,2.2362,0.4398,0.6854
2020-11-30,0.7791,0.3840,1.4637,1.5874,2.0707,1.9058,1.2055,4.6448,2.2182,3.3148,2.4473,1.1157,2.6002,1.4024,6.6084,10.0620,0.5014,3.6132,5.1718,1.5446,1.6967,2.3269,2.2873,2.6013,2.8990,2.0091,1.9642,2.1994,0.4405,0.7414
2020-12-31,0.7352,0.3964,1.6262,1.5008,2.1984,2.3164,1.0186,4.6830,2.4296,3.7451,2.9404,1.1275,2.5692,1.3676,7.5419,9.8182,0.5035,4.1844,5.3000,1.5238,1.7391,2.4273,2.1106,2.6934,2.8801,2.0432,2.2572,2.2321,0.4247,0.7581
2021-01-29,0.9007,0.4113,1.6620,1.5744,2.3130,2.7047,0.8833,5.3092,2.8218,4.0775,3.2664,1.2005,2.9077,1.3280,7.7462,9.5863,0.5199,4.2280,5.2082,1.6564,2.0145,2.4878,2.2262,2.6765,2.8904,2.0080,2.6832,2.5126,0.4037,0.7635
