ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv
000030.SZ,20220930,4.3,0.4949,1.5748,1.44,9.2524,17.0386,1.1018,0.6069,0.6652,6.704,6.6176,181055.2111,176111.8487,55340.1454,778537.4077,757280.9494
000031.SZ,20220930,3.35,0.3648,1.413,1.01,133.5608,,0.7654,0.337,0.3311,0.0,,428631.3339,400288.7169,103339.4287,1435914.9686,1340967.2016
000032.SZ,20220930,12.13,0.1468,0.2697,0.66,38.1067,,2.4801,0.3232,0.2934,0.0,0.825,113795.9234,64476.3811,35101.6061,1380344.5508,782098.5027
000034.SZ,20220930,16.04,1.0697,1.3672,0.56,44.6332,13.9884,1.5893,0.0868,0.0861,1.1516,1.152,66252.2176,54217.0008,42422.7129,1062685.5703,869640.6928
000035.SZ,20220930,4.69,1.0239,1.5292,0.79,16.237,23.0336,1.1391,0.5748,1.0174,0.0,2.0175,252377.7297,245334.5376,164270.1072,1183651.5523,1150618.9813
000036.SZ,20220930,4.38,7.7509,11.6221,2.22,15.9965,20.1757,1.3205,3.4537,4.1226,5.2511,1.5525,148393.4025,147967.5252,98680.7492,649963.103,648097.7604
000037.SZ,20220930,6.94,1.8211,3.0839,0.79,,,2.7499,5.5247,6.8597,0.0,,60276.2596,33889.5156,20012.2202,418317.2416,235193.2383
000038.SZ,20220930,3.95,1.7812,2.6512,0.84,,,0.8901,0.9141,1.1105,0.0,,52277.7419,25059.7406,16836.4777,206497.0805,98985.9754
000039.SZ,20220930,6.91,0.475,0.6154,0.99,5.5905,7.5947,0.8225,0.2276,0.2291,2.7014,6.657,539252.0385,230140.7142,177640.7142,3726231.586,1590272.3351
000040.SZ,20220930,4.09,9.5849,11.2477,1.95,,,0.5329,1.5687,1.5639,0.0,,148687.387,106034.067,90359.3956,608131.4128,433679.334
000042.SZ,20220930,8.21,1.8938,6.1288,0.76,26.5056,29.2253,0.6589,0.6291,0.581,0.609,0.3898,66483.1139,66396.9764,20516.4721,545826.3651,545119.1762
000045.SZ,20220930,7.7,1.7428,3.5724,0.44,63.7683,144.4909,1.3762,1.7004,1.4788,0.3896,0.6494,50652.1849,45702.1849,22295.2413,390021.8237,351906.8237
000046.SZ,20220930,1.19,0.9743,2.3402,1.04,,,1.5097,0.7326,1.0993,0.0,,519620.0656,519383.6456,216228.1105,618347.8781,618066.5383
000048.SZ,20220930,15.79,0.3948,1.2305,0.73,21.2204,,4.9553,2.5646,4.7394,7.3074,8.2331,52323.925,52323.925,16786.4258,826194.7758,826194.7758
000049.SZ,20220930,41.59,2.6819,4.8727,0.88,15.733,15.0051,3.5476,0.6414,0.5873,1.6591,1.8035,30027.1902,29936.8739,16476.9532,1248830.8404,1245074.5855
000050.SZ,20220930,8.51,0.1657,0.3547,0.79,13.5598,29.1797,0.6908,0.6571,0.6625,0.8226,0.8226,245774.7661,237577.6352,110983.9756,2091543.2595,2021785.6756
000055.SZ,20220930,4.77,2.332,2.9219,0.61,23.0563,22.9328,0.9176,1.4398,1.4221,0.0,1.0482,107387.4227,67587.6179,53940.516,512238.0063,322392.9374
000056.SZ,20220930,4.26,1.0796,2.2861,0.63,,,1.5668,6.6323,6.8889,0.0,,117452.872,90372.8783,42678.4132,500349.2347,384988.4616
000058.SZ,20220930,5.42,0.3901,1.3314,0.51,143.8707,,3.5043,3.3455,3.5448,0.1853,0.1845,123120.0672,98468.3779,28852.0597,667310.7642,533698.6082
000059.SZ,20220930,7.12,2.6358,4.9767,1.15,12.74,16.3709,0.7893,0.2954,0.2584,1.1096,3.0618,159944.2537,159944.2537,84712.3362,1138803.0863,1138803.0863
000060.SZ,20220930,4.12,0.6863,1.0673,0.7,13.1423,11.3403,1.1174,0.3464,0.256,1.9473,2.2992,373754.2102,373728.3352,240320.9654,1539867.346,1539760.741
000061.SZ,20220930,5.19,0.2321,0.3517,0.69,23.5368,30.1511,1.5509,2.1522,2.2532,1.1561,1.3487,169696.4131,169693.6756,112001.9093,880724.384,880710.1764
000062.SZ,20220930,11.93,1.7276,4.2212,1.23,14.1241,12.838,1.9224,0.5463,0.4784,1.6764,2.5147,104590.9322,104454.7525,42750.2374,1247769.8211,1246145.1973
000063.SZ,20220930,21.4,0.6011,0.8104,0.98,14.8765,13.8837,1.8441,0.885,0.8358,0.9115,1.4011,473611.2508,389455.6588,288871.6188,10135280.7671,8334351.0983
000065.SZ,20220930,8.81,2.0842,4.8126,0.8,14.1493,11.9512,1.1693,0.6762,0.6285,0.8545,0.7068,100170.3396,90527.981,39204.1533,882500.6919,797551.5126
000066.SZ,20220930,8.54,0.5552,0.9139,1.16,46.0964,71.9211,2.0636,1.5485,1.6202,0.9225,0.5527,322579.9087,314679.3276,191177.6114,2754832.4203,2687361.4577
000068.SZ,20220930,3.68,5.0395,9.0415,0.75,,,15.6314,3.9585,2.9601,0.0,,100667.1464,100667.1464,56109.7969,370455.0988,370455.0988
000069.SZ,20220930,4.81,0.4484,0.7492,0.67,10.3842,17.0015,0.5119,0.3846,0.4111,8.1497,2.0374,820179.3915,705640.3594,422312.6217,3945062.8731,3394130.1287
000070.SZ,20220930,5.53,0.6193,1.0126,0.87,,,2.5648,1.0174,1.1168,0.0,,84458.3537,83280.9449,50929.9092,467054.696,460543.6253
000078.SZ,20220930,3.23,0.505,0.9423,0.96,95.2373,132.9694,1.4994,0.2164,0.2282,0.0,,275083.3257,262119.9543,140475.4415,888519.142,846647.4524
