date,industry_code,hold_mv,config_ratio,float_ratio,hold_mv_change,hold_mv_yoy,config_ratio_yoy,float_ratio_yoy,period
2023-04-28,电力设备及新能源,,12.73,5.8767,,0.0,0.17543859649122817,0.32683840960917565,2023-04
2023-05-31,电力设备及新能源,,13.03,5.8864,,0.0,0.1223083548664945,0.32418509436933407,2023-05
2023-06-30,电力设备及新能源,,13.51,6.0529,,0.0,0.0029695619896064063,0.17859298635044896,2023-06
2023-07-31,电力设备及新能源,,13.07,6.2935,,0.0,-0.08537438768369476,0.25807096451774103,2023-07
2023-08-31,电力设备及新能源,,13.38,6.2866,,0.0,-0.011816838995568513,0.25566252546638446,2023-08
2023-09-28,电力设备及新能源,,12.42,5.8704,,0.0,-0.03869969040247678,0.18882138517618485,2023-09
2023-10-31,电力设备及新能源,,11.63,5.5172,,0.0,-0.18614415675297402,0.12517844760778218,2023-10
2023-11-30,电力设备及新能源,,11.12,5.4087,,0.0,-0.13798449612403108,0.12973097167683156,2023-11
2023-12-29,电力设备及新能源,,11.66,5.4551,,0.0,-0.036363636363636376,0.14437055528750342,2023-12
2024-01-31,电力设备及新能源,,11.03,5.4125,,0.0,-0.12251392203659517,0.07267430338102976,2024-01
2024-02-29,电力设备及新能源,,10.94,5.5721,,0.0,-0.08067226890756307,0.13744182248713988,2024-02
2024-03-29,电力设备及新能源,,11.64,5.8246,,0.0,0.02015775635407535,0.14100454474220347,2024-03
2024-04-30,电力设备及新能源,,11.59,6.0081,,0.0,-0.08955223880597019,0.022359487467456196,2024-04
2024-05-31,电力设备及新能源,,11.57,5.9901,,0.0,-0.11204911742133528,0.017616879586844325,2024-05
2024-06-28,电力设备及新能源,,11.46,6.2255,,0.0,-0.1517394522575869,0.028515257149465567,2024-06
2024-07-31,电力设备及新能源,,11.44,6.0692,,0.0,-0.12471308339709264,-0.03563994597600695,2024-07
2024-08-30,电力设备及新能源,,11.44,6.0692,,0.0,-0.1449925261584455,-0.03458149078993411,2024-08
2024-09-30,电力设备及新能源,,12.72,6.6287,,0.0,0.024154589371980784,0.12917348051240118,2024-09
2017-01-26,电子,33.33,2.88,0.2256,,,,,2017-01
2017-02-28,电子,50.48,3.75,0.322,17.15,,,,2017-02
2017-03-31,电子,71.04,4.74,0.4326,20.56000000000001,,,,2017-03
2017-04-28,电子,97.29,6.0,0.5822,26.25,,,,2017-04
2017-05-31,电子,160.61,8.39,0.9808,63.32000000000001,,,,2017-05
2017-06-30,电子,248.34,10.65,1.3817,87.72999999999999,,,,2017-06
2017-07-31,电子,254.53,10.2,1.3965,6.189999999999998,,,,2017-07
2017-08-31,电子,301.51,10.85,1.5537,46.97999999999999,,,,2017-08
2017-09-29,电子,316.67,10.47,1.5464,15.160000000000025,,,,2017-09
2017-10-31,电子,411.96,11.69,1.8314,95.28999999999996,,,,2017-10
2017-11-30,电子,390.93,10.85,1.8363,-21.029999999999973,,,,2017-11
2017-12-29,电子,410.29,10.66,1.9219,19.360000000000014,,,,2017-12
2018-01-31,电子,461.37,10.39,2.2715,51.079999999999984,12.842484248424844,2.6076388888888893,9.068705673758865,2018-01
2018-02-28,电子,526.58,12.51,2.5015,65.21000000000004,9.431458003169574,2.336,6.7686335403726705,2018-02
2018-03-30,电子,512.27,12.48,2.3822,-14.31000000000006,6.211007882882882,1.6329113924050631,4.50670365233472,2018-03
2018-04-27,电子,480.37,11.45,2.4076,-31.899999999999977,3.937506424092918,0.9083333333333332,3.1353486774304358,2018-04
2018-05-31,电子,529.95,10.55,2.6984,49.58000000000004,2.2996077454703943,0.25744934445768775,1.7512234910277322,2018-05
2018-06-29,电子,506.49,10.17,2.8074,-23.460000000000036,1.0395022952403963,-0.04507042253521132,1.031844828834045,2018-06
2018-07-31,电子,477.23,9.28,2.6571,-29.25999999999999,0.8749459788630025,-0.09019607843137256,0.9026852846401716,2018-07
2018-08-31,电子,438.45,8.93,2.64,-38.78000000000003,0.4541806241915691,-0.17695852534562206,0.6991697238849199,2018-08
2018-09-28,电子,392.42,7.48,2.4677,-46.02999999999997,0.23920800833675426,-0.285577841451767,0.5957708225556129,2018-09
2018-10-31,电子,295.54,6.8,2.0833,-96.88,-0.2826002524516943,-0.41830624465355004,0.13754504750464136,2018-10
2018-11-30,电子,334.9,7.02,2.2509,39.35999999999996,-0.14332489192438547,-0.3529953917050691,0.22578010129063886,2018-11
2018-12-28,电子,309.17,6.64,2.1875,-25.72999999999996,-0.24645982110214726,-0.377110694183865,0.13819657630469862,2018-12
2019-01-31,电子,375.43,6.7,2.5578,66.25999999999999,-0.18627132236599686,-0.35514918190567857,0.12604006163328196,2019-01
2019-02-28,电子,497.66,7.09,2.6478,122.23000000000002,-0.054920429944168014,-0.43325339728217427,0.05848490905456738,2019-02
2019-03-29,电子,523.93,6.72,2.5726,26.269999999999925,0.02276143439982814,-0.46153846153846156,0.07992611871379385,2019-03
2019-04-30,电子,478.39,5.98,2.4903,-45.539999999999964,-0.004121822761621319,-0.4777292576419213,0.0343495597275294,2019-04
2019-05-31,电子,343.36,4.9,1.9006,-135.02999999999997,-0.3520898197943203,-0.5355450236966824,-0.29565668544322554,2019-05
2019-06-28,电子,384.22,4.8,2.0528,40.860000000000014,-0.24140654307093912,-0.528023598820059,-0.26878962741326495,2019-06
2019-07-31,电子,419.01,5.1,2.0306,34.789999999999964,-0.12199568342308742,-0.4504310344827587,-0.23578337285009965,2019-07
2019-08-30,电子,416.49,4.88,1.926,-2.519999999999982,-0.05008552856654114,-0.4535274356103024,-0.2704545454545455,2019-08
2019-09-30,电子,496.19,5.47,2.1455,79.69999999999999,0.26443606340145753,-0.268716577540107,-0.1305669246666935,2019-09
2019-10-31,电子,493.49,5.17,2.083,-2.6999999999999886,0.6697908912499153,-0.2397058823529412,-0.00014400230403677217,2019-10
2019-11-29,电子,585.57,5.95,2.3882,92.08000000000004,0.7484920871902063,-0.1524216524216524,0.06099782309298485,2019-11
2019-12-31,电子,667.52,5.91,2.5357,81.94999999999993,1.1590710612284503,-0.1099397590361445,0.15917714285714268,2019-12
2020-01-23,电子,784.09,6.97,2.5381,116.57000000000005,1.0885118397570785,0.040298507462686484,-0.0077019313472515005,2020-01
2020-02-28,电子,784.7,7.0,2.4155,0.6100000000000136,0.5767793272515371,-0.012693935119887145,-0.0877332124782838,2020-02
2020-03-31,电子,572.33,5.77,2.2204,-212.37,0.09237875288683628,-0.14136904761904767,-0.13690429915260816,2020-03
2020-04-30,电子,707.01,6.24,2.4258,134.67999999999995,0.47789460482033497,0.04347826086956519,-0.025900493916395484,2020-04
2020-05-29,电子,707.82,5.93,2.4668,0.8100000000000591,1.0614515377446412,0.21020408163265292,0.29790592444491204,2020-05
2020-06-30,电子,,7.39,2.9329,,0.8422258081307583,0.5395833333333333,0.4287314886983633,2020-06
2020-07-31,电子,,7.4,3.0032,,0.6892675592467963,0.4509803921568629,0.47897173249285907,2020-07
2020-08-31,电子,,6.92,2.8144,,0.6994885831592597,0.4180327868852458,0.46126687435098646,2020-08
2020-09-30,电子,,6.9,2.7214,,0.4265100062476068,0.26142595978062166,0.2684222791890001,2020-09
2020-10-30,电子,,7.03,2.7882,,0.4343147784149628,0.35976789168278533,0.3385501680268841,2020-10
2020-11-30,电子,,7.05,2.899,,0.2087709411342793,0.18487394957983194,0.21388493426011235,2020-11
2020-12-31,电子,,6.46,2.8801,,0.06037272291466933,0.0930626057529611,0.13582048349568177,2020-12
2021-01-29,电子,,6.43,2.8904,,-0.09727199683709775,-0.07747489239598282,0.13880461762735896,2021-01
2021-02-26,电子,,6.01,2.7752,,-0.09797374792914493,-0.14142857142857146,0.14891326847443587,2021-02
2021-03-31,电子,,5.61,2.6374,,0.23673405203291797,-0.02772963604852674,0.18780399927940894,2021-03
2021-04-30,电子,,6.29,2.9078,,0.0011456697925065207,0.008012820512820484,0.19869733696100234,2021-04
2021-05-31,电子,,5.87,2.8066,,0.0,-0.010118043844856595,0.1377493108480623,2021-05
2021-06-30,电子,,6.91,2.9674,,0.0,-0.06495263870094714,0.011763101367247453,2021-06
2021-07-30,电子,,7.57,2.7958,,0.0,0.02297297297297307,-0.06905966968566868,2021-07
2021-08-31,电子,,7.22,2.8944,,0.0,0.043352601156069426,0.028425241614553842,2021-08
2021-09-30,电子,,6.75,2.797,,0.0,-0.021739130434782705,0.027779819210700385,2021-09
2021-10-29,电子,,6.89,2.8893,,0.0,-0.019914651493598945,0.0362599526576286,2021-10
2021-11-30,电子,,7.9,3.0178,,0.0,0.12056737588652489,0.04097964815453592,2021-11
