,沪深300,新华商品指数,债券指数,标普500,上证50,纳斯达克100,中证REITs
2023-12-11,3419.4548,2540.94,222.4004,4622.44,2292.6788,16221.7305,836.9104
2023-12-12,3426.803,2552.23,222.421,4643.7,2305.138,16354.25,829.6937
2023-12-13,3369.605,2489.99,222.679,4707.09,2261.0183,16562.3691,823.2644
2023-12-14,3351.9639,2502.02,222.7402,4719.55,2249.9385,16537.8301,821.5743
2023-12-15,3341.5517,2514.32,223.0577,4719.19,2245.2883,16623.4492,822.511
2023-12-18,3329.3657,2520.76,223.2805,4740.56,2251.2303,16729.8008,821.5682
2023-12-19,3334.0412,2517.26,223.2779,4768.37,2257.2098,16811.8496,819.784
2023-12-20,3297.5022,2534.59,223.3227,4698.35,2237.5812,16554.1602,828.9003
2023-12-21,3330.8698,2550.83,223.6468,4746.75,2261.3818,16757.4102,849.2262
2023-12-22,3337.2281,2563.48,223.8411,4754.63,2270.5018,16777.4004,856.094
2023-12-25,3347.4508,2546.49,224.2095,,2272.9578,,856.6724
2023-12-26,3324.7902,2554.62,224.2698,4774.75,2262.2095,16878.4609,854.1764
2023-12-27,3336.3572,2573.14,224.4156,4781.58,2266.5441,16906.8008,848.8015
2023-12-28,3414.5403,2556.09,224.4425,4783.35,2317.7033,16898.4707,851.8063
2023-12-29,3431.1099,2528.38,224.4314,4769.83,2326.1732,16825.9297,861.7694
2023-12-31,,,224.5063,,,,
2024-01-02,3386.3522,2550.77,224.3953,4742.83,2292.2286,16543.9395,849.64
2024-01-03,3378.2971,2538.56,224.3104,4704.81,2294.8357,16368.4902,845.4652
2024-01-04,3347.0519,2539.29,224.5493,4688.68,2279.0361,16282.0098,838.834
2024-01-05,3329.1114,2518.44,224.8237,4697.24,2268.5377,16305.9805,831.1801
2024-01-08,3286.0564,2502.85,224.8908,4763.54,2243.8422,16649.8691,822.2506
2024-01-09,3292.4994,2494.12,225.248,4756.5,2245.6219,16678.6992,806.9133
2024-01-10,3277.129,2491.29,225.1798,4783.45,2235.2089,16793.0508,795.8755
2024-01-11,3295.6717,2507.2,225.1741,4780.24,2240.1061,16820.9004,798.8768
2024-01-12,3284.1667,2504.74,225.0235,4783.83,2237.2073,16832.9199,796.0235
2024-01-15,3280.9195,2493.32,225.0791,,2238.5029,,800.5779
2024-01-16,3300.8762,2502.56,225.0691,4765.98,2248.975,16830.7109,810.2634
2024-01-17,3229.082,2485.36,225.2415,4739.21,2199.2587,16736.2793,821.9152
2024-01-18,3274.7286,2505.99,225.3569,4780.94,2238.4588,16982.2891,813.2402
2024-01-19,3269.7763,2515.5,225.5417,4839.81,2243.5396,17314.0,817.1041
2024-01-22,3218.9016,2508.57,225.9783,4850.43,2230.6094,17330.3809,807.685
2024-01-23,3231.9329,2533.18,225.9379,4864.6,2226.3713,17404.2109,800.4802
