date,nav,return
2021-03-12,3.177,-0.0006291286568101961
2021-03-15,3.131,-0.014479068303431042
2021-03-16,3.151,0.006387735547748408
2021-03-17,3.16,0.0028562361155188842
2021-03-18,3.188,0.008860759493670933
2021-03-19,3.158,-0.00941028858218329
2021-03-22,3.2,0.013299556681444002
2021-03-23,3.203,0.0009374999999998135
2021-03-24,3.117,-0.026849828285981814
2021-03-25,3.132,0.004812319538017418
2021-03-26,3.188,0.017879948914431676
2021-03-29,3.217,0.009096612296110473
2021-03-30,3.224,0.0021759403170655833
2021-03-31,3.217,-0.002171215880893307
2021-04-01,3.225,0.0024867889337891746
2021-04-02,3.237,0.0037209302325580396
2021-04-06,3.234,-0.000926784059314234
2021-04-07,3.218,-0.0049474335188620655
2021-04-08,3.238,0.00621504039776255
2021-04-09,3.208,-0.009264978381717026
2021-04-12,3.147,-0.019014962593516316
2021-04-13,3.126,-0.006673021925643452
2021-04-14,3.156,0.009596928982725572
2021-04-15,3.144,-0.0038022813688213253
2021-04-16,3.178,0.010814249363867656
2021-04-19,3.214,0.01132787916928879
2021-04-20,3.221,0.002177971375233456
2021-04-21,3.232,0.0034150884818380245
2021-04-22,3.246,0.004331683168316669
2021-04-23,3.264,0.005545286506469349
2021-04-26,3.253,-0.003370098039215619
2021-04-27,3.273,0.006148170919151541
2021-04-28,3.299,0.007943782462572546
2021-04-29,3.286,-0.003940588056986938
2021-04-30,3.264,-0.0066950699939136715
2021-05-06,3.264,0.0
2021-05-07,3.185,-0.02420343137254899
2021-05-10,3.149,-0.011302982731554168
2021-05-11,3.168,0.006033661479834862
2021-05-12,3.168,0.0
2021-05-13,3.141,-0.008522727272727293
2021-05-14,3.186,0.014326647564469885
2021-05-17,3.2,0.00439422473320783
2021-05-18,3.199,-0.00031250000000004885
2021-05-19,3.189,-0.003125976867771163
2021-05-20,3.196,0.002195045468799117
2021-05-21,3.19,-0.001877346683354264
2021-05-24,3.207,0.005329153605015735
2021-05-25,3.239,0.009978172747115766
2021-05-26,3.238,-0.0003087372645877995
2021-05-27,3.318,0.024706609017912218
