,850531.SL,STIP.P,000300.SH,HSI.HK,SPX.GI,N225.GI,BRN0Y.ICE,CU00.SHF,CBA02001.CB,CBA00603.CB,
,黄金,美国国债0-5年期债券,沪深300,恒生指数,标普500,日经225,布伦特原油连续,沪铜连续,中债企业债总指数(总值)财富指数,中债国债总指数(总值)全价指数,
2020-06-09,7114.79,82.3853,4047.0293,25057.22,3207.1799,23091.03,40.87,46360,194.3885,123.2693,
2020-06-10,7132.94,82.6034,4039.7051,25049.73,3190.1399,23124.95,41.36,46870,194.4434,123.2423,
2020-06-11,7212.75,82.4096,3995.8846,24480.15,3002.1001,22472.91,38.33,47150,194.5434,123.5445,
2020-06-12,7082.13,82.4257,4003.0829,24301.38,3041.3101,22305.48,39.04,47300,194.6731,123.7138,
2020-06-15,6960.06,82.4661,3954.9883,23776.95,3066.5901,21530.95,39.89,46370,194.8365,123.6597,
2020-06-16,7052.14,82.5468,4014.5702,24344.09,3124.74,22582.21,40.74,47150,194.7885,123.1574,
2020-06-17,7109.05,82.4903,4017.5941,24481.41,3113.49,22455.76,40.54,46770,194.725,122.922,
2020-06-18,7110.53,82.5711,4044.3842,24464.94,3115.3401,22355.46,41.43,46920,194.744,123.0586,
2020-06-19,7162.09,82.6195,4098.7095,24643.89,3097.74,22478.79,41.92,47780,194.718,122.9094,
2020-06-22,7350.52,82.6599,4102.0459,24511.34,3117.8601,22437.27,43.02,47580,194.6998,122.6663,
2020-06-23,7302.69,82.7164,4121.7944,24907.34,3131.29,22549.05,42.4,48000,194.4457,122.6173,
2020-06-24,7513.58,82.5953,4138.9895,24781.58,3050.3301,22534.32,40.32,48000,194.459,122.9217,
2020-06-25,--,82.5711,--,--,3083.76,22259.79,41.4,--,--,--,
2020-06-26,--,82.5549,--,24549.99,3009.05,22512.08,40.67,--,--,--,
2020-06-28,--,--,--,--,--,--,--,--,194.5735,123.0803,
2020-06-29,7556.44,82.6599,4109.7164,24301.28,3053.24,21995.04,41.68,48500,194.6107,123.0449,
2020-06-30,7561.82,82.6922,4163.9637,24427.19,3100.29,22288.14,41.14,48940,194.6411,123.2403,
2020-07-01,7735.82,82.6599,4247.7835,--,3115.8601,22121.73,42.09,49420,194.7247,123.148,
2020-07-02,7677.86,82.7891,4335.8445,25124.19,3130.01,22145.96,42.92,49500,194.8135,123.1802,
2020-07-03,7779.06,--,4419.5955,25373.12,--,22306.48,42.78,49000,194.8709,122.9213,
2020-07-06,8157.94,82.8537,4670.0949,26339.16,3179.72,22714.44,43.12,49110,194.7037,122.1617,
2020-07-07,8299.42,82.8457,4698.1264,25975.66,3145.3201,22614.69,43.01,49410,194.3985,121.9795,
2020-07-08,8713.15,82.7811,4774.0042,26129.18,3169.9399,22438.65,43.37,49880,194.2703,121.7074,
2020-07-09,9413.67,82.773,4840.7712,26210.16,3152.05,22529.29,42.35,50750,193.9008,121.4453,
2020-07-10,8818.04,82.8053,4753.1333,25727.41,3185.04,22290.81,43.17,50520,193.7389,121.6652,
2020-07-13,9158.22,82.8295,4852.9612,25772.12,3155.22,22784.74,42.21,52910,193.5718,121.4053,
2020-07-14,8898.58,82.8659,4806.6902,25477.89,3197.52,22587.01,43.1,52130,193.5139,121.6364,
2020-07-15,8790.05,82.8941,4744.4687,25481.58,3226.5601,22945.5,43.64,52280,193.5349,121.8832,
2020-07-16,8421.18,82.9345,4516.2532,24970.69,3215.5701,22770.36,43.4,50710,193.6324,122.0698,
2020-07-17,8332.26,82.9854,4544.7007,25089.17,3224.73,22696.42,43.1,51430,193.7362,122.0858,
2020-07-20,8723.48,83.0233,4680.3046,25057.99,3251.8401,22717.48,43.18,51300,193.9028,122.1935,
2020-07-21,8933.71,83.1364,4691.0425,25635.66,3257.3,22884.22,43.96,51900,194.126,122.4873,
2020-07-22,9199.68,83.1687,4714.4454,25057.94,3276.02,22751.61,44.28,52400,194.3402,122.6164,
2020-07-23,9223.64,83.1122,4712.4357,25263,3235.6599,--,43.34,52000,194.5322,122.5252,
2020-07-24,9164.51,83.0718,4505.5906,24705.33,3215.6299,--,43.42,51230,194.7199,122.8321,
2020-07-27,9864.32,83.0395,4528.45,24603.26,3239.4099,22715.85,43.46,51650,194.8594,122.814,
2020-07-28,9449.83,83.088,4568.2576,24772.76,3218.4399,22657.38,43.27,51540,194.9184,122.5165,
2020-07-29,9491.8,83.1526,4679.008,24883.14,3258.4399,22397.11,43.75,51870,194.8764,122.399,
2020-07-30,9267.62,83.1768,4656.1506,24710.59,3246.22,22339.23,43.38,51650,194.8577,122.3745,
2020-07-31,9634.61,83.2576,4695.0462,24595.35,3271.1201,21710,43.32,51790,194.8126,122.1622,
2020-08-03,9612.9,83.411,4771.3108,24458.13,3294.6101,22195.38,43.88,51010,194.8429,122.1545,
2020-08-04,9524.76,83.4595,4775.8024,24946.63,3306.51,22573.66,44.36,51470,194.8405,122.1467,
2020-08-05,10029.16,83.5806,4777.1089,25102.54,3327.77,22514.85,45.33,51290,194.8798,121.9674,
2020-08-06,10577.03,83.6371,4762.7642,24930.58,3349.1599,22418.15,45.12,51400,194.9275,121.7708,
2020-08-07,10469.38,83.5483,4707.9262,24531.62,3351.28,22329.94,44.69,51210,194.9672,121.6506,
