指标名称,期货收盘价(连一):铜,期货收盘价(连续):螺纹钢,期货收盘价(连续):豆粕,期货收盘价(连续):精对苯二甲酸(PTA),期货收盘价(连续):白糖
频率,日,日,日,日,日
单位,元/吨,元/吨,元/吨,元/吨,元/吨
2011/4/7,"71,700.00","4,755.00","3,161.00","11,034.00","7,210.00"
2011/4/8,"73,090.00","4,755.00","3,154.00","11,190.00","7,303.00"
2011/4/11,"73,360.00","4,755.00","3,166.00","11,280.00","7,285.00"
2011/4/12,"72,220.00","4,755.00","3,130.00","11,180.00","7,249.00"
2011/4/13,"72,230.00","4,755.00","3,100.00","11,098.00","7,234.00"
2011/4/14,"71,200.00","4,755.00","3,078.00","11,070.00","7,132.00"
2011/4/15,"71,200.00","4,755.00","3,055.00","11,080.00","7,093.00"
2011/4/18,"71,040.00","4,810.00","3,035.00","10,930.00","7,090.00"
2011/4/19,"69,720.00","4,772.00","3,020.00","10,770.00","7,063.00"
2011/4/20,"71,060.00","4,809.00","3,030.00","10,746.00","7,119.00"
2011/4/21,"71,480.00","4,812.00","3,035.00","10,792.00","7,142.00"
2011/4/22,"71,460.00","4,818.00","3,069.00","10,780.00","7,135.00"
2011/4/25,"70,920.00","4,816.00","3,070.00","10,650.00","7,143.00"
2011/4/26,"70,190.00","4,856.00","3,055.00","10,550.00","7,140.00"
2011/4/27,"69,860.00","4,865.00","3,070.00","10,428.00","7,187.00"
2011/4/28,"70,330.00","4,896.00","3,064.00","10,580.00","7,214.00"
2011/4/29,"69,750.00","4,901.00","3,007.00","10,612.00","7,128.00"
2011/5/3,"69,580.00","4,975.00","3,010.00","10,570.00","7,124.00"
2011/5/4,"68,500.00","4,940.00","2,946.00","10,380.00","6,953.00"
2011/5/5,"67,770.00","5,070.00","3,000.00","10,210.00","6,866.00"
2011/5/6,"66,510.00","4,980.00","3,001.00","9,848.00","6,840.00"
2011/5/9,"67,460.00","4,920.00","3,001.00","9,890.00","6,890.00"
2011/5/10,"67,620.00","5,080.00","3,001.00","9,820.00","6,950.00"
2011/5/11,"66,810.00","4,826.00","2,970.00","9,832.00","6,888.00"
2011/5/12,"64,700.00","5,039.00","2,970.00","9,500.00","6,900.00"
2011/5/13,"66,860.00","5,039.00","2,970.00","9,646.00","6,900.00"
2011/5/16,"66,600.00","5,039.00","2,970.00","9,500.00","6,890.00"
2011/5/17,"66,540.00","4,880.00","2,963.00","9,586.00","6,873.00"
2011/5/18,"66,840.00","4,900.00","2,971.00","9,586.00","6,847.00"
2011/5/19,"67,440.00","4,950.00","2,980.00","9,626.00","6,853.00"
2011/5/20,"67,550.00","4,941.00","3,004.00","9,650.00","6,736.00"
2011/5/23,"66,350.00","4,952.00","2,996.00","9,614.00","6,726.00"
