,000300.SH,NHCI.SL,000905.SH,CBA00601.CB,CBA02001.CB,BRN0Y.ICE
,沪深300,南华商品,中证500,中债国债总指数(总值)财富指数,中债企业债总指数(总值)财富指数,布伦特原油连续
2023/9/12,3760.6048,2591.93,5770.9259,221.1004,226.6536,91.96
2023/9/13,3736.6513,2586.22,5715.3973,221.2159,226.7959,92.19
2023/9/14,3733.5077,2608.14,5702.102,221.4408,226.9501,94.18
2023/9/15,3708.7766,2625.6,5704.6632,221.2051,227.065,94.27
2023/9/18,3727.711,2619.33,5719.6887,221.0315,227.0643,94.56
2023/9/19,3720.5021,2603.53,5687.9007,220.9942,227.0618,94.5
2023/9/20,3705.6898,2607.92,5651.0062,220.9491,227.0995,93.16
2023/9/21,3672.4448,2567.34,5611.9186,221.0739,227.1927,93.3
2023/9/22,3738.9327,2592.98,5698.8168,220.9386,227.2311,93.83
2023/9/25,3714.6037,2570.02,5666.6642,220.7532,227.2965,93.28
2023/9/26,3692.8928,2545.29,5646.6544,220.6408,227.2365,94.09
2023/9/27,3700.495,2557.9,5674.3451,220.6468,227.2383,96.71
2023/9/28,3689.5172,2584.31,5690.7697,220.8765,227.3493,95.19
2023/9/29,--,--,--,--,--,95.34
2023/10/2,--,--,--,--,--,90.5
2023/10/3,--,--,--,--,--,91.12
2023/10/4,--,--,--,--,--,86.02
2023/10/5,--,--,--,--,--,84.35
2023/10/6,--,--,--,--,--,84.49
2023/10/7,--,--,--,221.1455,227.604,--
2023/10/8,--,--,--,221.2041,227.6215,--
2023/10/9,3684.7272,2516.7,5658.0832,221.1718,227.6856,88.28
2023/10/10,3657.1259,2482.3,5630.3714,221.0313,227.6968,87.72
2023/10/11,3667.5483,2491.56,5629.7886,220.7677,227.6669,85.53
2023/10/12,3702.3824,2498.37,5671.6419,220.7273,227.6433,86.24
2023/10/13,3663.4104,2507.44,5633.3831,220.9734,227.689,90.9
2023/10/16,3626.5972,2547.41,5580.6666,221.0668,227.7873,90.17
2023/10/17,3639.4018,2531.94,5595.3423,220.9611,227.8006,90.88
2023/10/18,3610.5767,2534.27,5524.5988,220.9017,227.8158,91.39
2023/10/19,3533.5445,2540.38,5464.027,220.6774,227.7479,93.05
2023/10/20,3510.5889,2524.36,5423.6748,220.7375,227.7155,92.5
2023/10/23,3474.2438,2507.31,5290.3343,220.9588,227.7691,90.51
2023/10/24,3487.1302,2517.85,5352.0123,220.8157,227.7333,88.08
2023/10/25,3504.4576,2523.57,5375.9983,220.9516,227.7661,90.17
2023/10/26,3514.1448,2533.41,5398.934,221.0052,227.8274,88.31
2023/10/27,3562.3851,2544.53,5492.0274,220.9444,227.8817,90.47
2023/10/30,3583.7718,2556.72,5546.3881,221.046,228.0182,87.87
2023/10/31,3572.5056,2533.81,5528.2385,221.2386,228.0772,85.62
2023/11/1,3571.0268,2530,5509.9662,221.3008,228.1478,84.9
2023/11/2,3554.1889,2541.98,5459.4517,221.5865,228.2512,86.99
2023/11/3,3584.1364,2565.38,5510.357,221.5533,228.3262,85.17
2023/11/6,3632.6084,2563.91,5605.0621,221.6328,228.4349,85.21
2023/11/7,3619.7593,2543.52,5611.0983,221.635,228.507,81.41
2023/11/8,3611.0723,2547.27,5608.0173,221.6774,228.5598,79.71
2023/11/9,3612.8263,2536.51,5592.0568,221.7792,228.6523,79.87
2023/11/10,3586.4893,2555.29,5573.0999,221.875,228.7636,81.7
2023/11/13,3579.4141,2548.73,5605.5688,222.038,228.9193,82.7
2023/11/14,3582.0584,2561.94,5630.5534,221.9771,229.0229,82.37
2023/11/15,3607.2454,2580.55,5664.617,221.9527,229.0949,81.07
2023/11/16,3572.3641,2578.8,5609.3607,222.0995,229.2019,77.45
2023/11/17,3568.0685,2542.63,5631.4233,222.2044,229.2869,80.54
2023/11/20,3576.3233,2564.37,5659.7727,222.2193,229.4234,82.03
2023/11/21,3581.0674,2551.71,5641.0844,222.1837,229.5112,82.39
2023/11/22,3544.4162,2561.36,5572.8986,222.0454,229.5276,81.66
2023/11/23,3561.5204,2532.87,5622.9891,221.7699,229.493,81.28
2023/11/24,3538.0087,2549.15,5570.4205,221.7744,229.4878,80.23
2023/11/27,3511.9424,2543.42,5566.5069,221.6619,229.5064,80.08
2023/11/28,3518.5232,2531.85,5591.4955,221.8088,229.5254,81.66
2023/11/29,3488.3073,2535.55,5553.3349,221.8808,229.5318,82.9
2023/11/30,3496.2028,2556.96,5545.0504,222.0469,229.5946,82.85
2023/12/1,3482.8813,2538.53,5566.8689,222.0331,229.6434,79.15
2023/12/4,3460.138,2514.49,5559.0682,222.0267,229.7166,78.2
