trade_date,沪深300,中证500,中证1000,上证指数
2020-01-17,4154.853,5510.0453,5879.4121,3075.4955
2020-01-20,4185.8304,5587.5359,5954.8668,3095.7873
2020-01-21,4114.3085,5523.9419,5901.8587,3052.1419
2020-01-22,4131.9311,5575.5126,5919.587,3060.7545
2020-01-23,4003.9013,5377.7411,5699.0083,2976.5281
2020-02-03,3688.3578,4910.9011,5200.1624,2746.6056
2020-02-04,3785.6376,4996.4743,5212.1,2783.2875
2020-02-05,3828.5272,5123.9619,5348.3408,2818.0878
2020-02-06,3899.7751,5282.8922,5515.6411,2866.5097
2020-02-07,3899.8693,5327.0369,5583.5955,2875.9636
2020-02-10,3916.0052,5388.4349,5661.5621,2890.4878
2020-02-11,3952.4643,5361.2768,5623.2586,2901.6744
2020-02-12,3984.4325,5459.9461,5754.2577,2926.8991
2020-02-13,3959.9188,5412.8418,5707.5326,2906.0735
2020-02-14,3987.7342,5420.8025,5727.8291,2917.0077
2020-02-17,4077.4241,5594.4366,5936.4827,2983.6224
2020-02-18,4057.5108,5660.8142,6072.1933,2984.9716
2020-02-19,4051.3107,5603.2626,6018.0505,2975.4019
2020-02-20,4144.6561,5706.7127,6134.388,3030.1542
2020-02-21,4149.4903,5784.0321,6243.4783,3039.6692
2020-02-24,4132.8388,5865.4665,6380.4145,3031.2333
2020-02-25,4123.8543,5897.7219,6407.1434,3013.0501
2020-02-26,4073.0152,5743.3929,6221.835,2987.9287
2020-02-27,4084.8759,5753.7277,6232.089,2991.3288
2020-02-28,3940.0488,5451.2897,5870.9664,2880.3038
2020-03-02,4069.6662,5656.4193,6113.4111,2970.9312
2020-03-03,4091.3615,5710.0235,6195.8915,2992.8968
2020-03-04,4115.0524,5716.5112,6226.533,3011.6657
2020-03-05,4206.7251,5801.1199,6315.8349,3071.6771
2020-03-06,4138.5072,5763.8602,6296.7385,3034.5113
2020-03-09,3997.1325,5525.8167,6049.6211,2943.2907
2020-03-10,4082.7315,5675.1113,6206.408,2996.7618
2020-03-11,4028.4289,5589.5311,6122.9093,2968.5174
2020-03-12,3950.9111,5493.8838,5999.6395,2923.4856
2020-03-13,3895.3128,5457.2006,5945.4645,2887.4265
2020-03-16,3727.8398,5200.1142,5657.7747,2789.2537
2020-03-17,3709.6822,5212.0619,5642.9188,2779.6407
2020-03-18,3636.2565,5119.4716,5556.1082,2728.7563
2020-03-19,3589.0926,5157.8235,5617.1948,2702.1296
2020-03-20,3653.2239,5219.2809,5670.471,2745.6182
2020-03-23,3530.3058,4998.9095,5416.5708,2660.1674
2020-03-24,3625.1146,5096.0408,5517.2552,2722.4381
2020-03-25,3722.5181,5217.4237,5646.6252,2781.5913
2020-03-26,3698.0472,5166.1091,5595.4333,2764.9109
2020-03-27,3710.0605,5137.3371,5553.6122,2772.2033
2020-03-30,3674.1108,5027.4856,5415.4107,2747.2138
2020-03-31,3686.1551,5041.4534,5427.1324,2750.2962
2020-04-01,3675.0758,5019.2187,5403.303,2734.5215
2020-04-02,3734.5306,5147.2019,5538.604,2780.6379
2020-04-03,3713.2183,5107.0393,5507.1187,2763.9874
2020-04-07,3798.0214,5267.073,5695.1689,2820.7634
2020-04-08,3780.3445,5271.7961,5718.1282,2815.3686
2020-04-09,3792.8105,5322.4614,5789.2646,2825.9036
2020-04-10,3769.1782,5208.5102,5637.5316,2796.6312
2020-04-13,3753.2566,5169.1757,5578.856,2783.0476
2020-04-14,3825.6991,5288.593,5692.0009,2827.283
2020-04-15,3797.3623,5268.7497,5657.9482,2811.1741
