ts_code,trade_date,buy_sm_vol,buy_sm_amount,sell_sm_vol,sell_sm_amount,buy_md_vol,buy_md_amount,sell_md_vol,sell_md_amount,buy_lg_vol,buy_lg_amount,sell_lg_vol,sell_lg_amount,buy_elg_vol,buy_elg_amount,sell_elg_vol,sell_elg_amount,net_mf_vol,net_mf_amount
000428.SZ,20150105,63259,3833.54,56301,3416.14,69823,4233.47,65411,3968.54,27589,1672.7,37943,2300.04,5211,320.01,6226,374.99,-7703,-455.52
000429.SZ,20150105,47193,2359.93,49101,2456.65,45407,2268.01,42362,2116.58,17585,878.47,16935,844.31,0,0.0,1788,88.86,227,14.13
000430.SZ,20150105,14172,1158.03,15913,1301.56,16447,1346.18,15624,1279.09,3381,277.14,2464,200.69,0,0.0,0,0.0,3077,253.57
000488.SZ,20150105,163453,10154.78,168701,10506.71,147640,9178.25,145958,9088.92,78172,4862.53,70989,4400.92,20664,1286.76,24281,1485.77,-11226,-662.11
000502.SZ,20150105,15740,1496.77,14372,1366.34,20735,1975.86,18627,1773.92,7037,671.63,10714,1023.13,306,29.1,104,9.96,-808,-75.4
000503.SZ,20150105,24842,7778.2,17203,5393.88,39463,12326.59,30645,9599.58,50722,15780.74,58813,18356.38,21048,6620.65,29414,9156.34,4370,1527.55
000505.SZ,20150105,67322,5186.49,72704,5613.97,49920,3852.44,64438,4970.84,37989,2935.14,29298,2254.41,11484,887.0,275,21.85,16580,1310.63
000507.SZ,20150105,201515,17803.2,180829,15982.51,167684,14820.42,155754,13762.13,76941,6798.42,79321,7006.2,10492,935.1,40728,3606.3,-43929,-3857.75
000510.SZ,20150105,123866,6955.09,127024,7133.95,83065,4662.15,86962,4881.84,40017,2249.18,31093,1745.47,6766,381.73,8634,486.9,7193,410.08
000511.SZ,20150105,279801,24353.69,297251,25874.21,231744,20167.55,234022,20383.12,115883,10086.03,110434,9608.21,33793,2947.58,19514,1689.31,28404,2450.7
000513.SZ,20150105,5439,2644.5,2782,1358.85,9360,4555.98,5261,2570.61,9277,4522.58,10902,5307.09,1515,738.49,6646,3225.0,-11624,-5648.33
000516.SZ,20150105,71919,8820.96,62261,7642.84,76474,9383.86,73488,9022.12,46306,5687.54,50264,6162.89,12917,1588.32,21602,2652.83,-14576,-1772.72
000517.SZ,20150105,35077,2731.96,28051,2187.39,38317,2985.31,35845,2792.62,26002,2022.9,28506,2217.72,1781,139.44,8775,681.88,-6394,-497.55
000518.SZ,20150105,170379,9275.6,163092,8883.13,81415,4433.09,82420,4489.12,25503,1393.38,29976,1631.97,2191,120.51,4000,218.36,-12242,-662.9
000519.SZ,20150105,31014,4235.22,36189,4963.34,34270,4694.41,35326,4833.36,14154,1939.48,10618,1441.71,3882,535.46,1187,166.16,8962,1245.36
000521.SZ,20150105,113270,7612.1,128888,8664.01,98878,6645.74,104847,7044.58,56950,3821.86,57929,3898.39,36647,2474.77,14080,947.49,35834,2420.87
000523.SZ,20150105,113686,10843.08,106638,10185.76,112879,10761.92,105085,10020.54,50928,4858.36,62639,5960.56,4558,431.51,7690,728.01,-18817,-1776.78
000524.SZ,20150105,9112,1142.26,7163,901.24,9641,1210.82,7981,1001.46,3118,392.12,6088,761.67,0,0.0,639,80.83,-362,-44.15
000525.SZ,20150105,18730,3039.72,23879,3878.08,35659,5787.5,33266,5397.94,36610,5961.98,30946,5039.62,2640,431.93,5548,905.49,7198,1172.66
000526.SZ,20150105,3145,621.01,3338,659.97,4857,962.13,5903,1169.04,4827,954.31,2802,554.11,0,0.0,786,154.34,-2609,-516.02
000528.SZ,20150105,239875,30210.25,248570,31384.36,252828,31892.0,275089,34759.73,196403,24806.02,204539,25835.95,99018,12637.7,59925,7565.93,3630,634.87
