,EW,EV,MV,MD,RP,PCRP,HPCRP
2008-12-18,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2008-12-19,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2008-12-22,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2008-12-23,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2008-12-24,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2008-12-25,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2008-12-26,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2008-12-29,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2008-12-30,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2008-12-31,1.002294710457528,1.0025911633459754,1.002294710457528,1.001816174513031,1.0028216087791344,0.9932052709362426,0.9933159034677534
2009-01-01,1.002294710457528,1.0025911633459754,1.002294710457528,1.001816174513031,1.0028216087791344,0.9932052709362426,0.9933159034677534
2009-01-02,1.0268265071792582,1.0276328298374777,1.0268265071792582,1.0272197954540276,1.027747913119911,0.9964208381280469,0.9957869146345489
2009-01-05,1.0472012242372524,1.0454963032904934,1.0472012242372524,1.0430428506838751,1.0446005325788936,1.0304699871888363,1.028488281712962
2009-01-06,1.0634672894883757,1.0615365588906833,1.0634672894883757,1.0634545503470092,1.0609275167456784,1.060906295148932,1.0584776472640292
2009-01-07,1.0434061174814355,1.0418579883891588,1.0434061174814355,1.0502129923611283,1.0413728617786748,1.051955056095937,1.0505140454916502
2009-01-08,1.0239350413400266,1.0245663848457913,1.0239350413400266,1.0386284385570004,1.025494145952711,1.0285942673905863,1.0268626918898294
2009-01-09,1.0215246648607257,1.0206164438328138,1.0215246648607257,1.0349038215514015,1.0209738906562111,1.0426499162270588,1.0407590000141682
2009-01-12,1.007779273921359,1.0074189749479645,1.007779273921359,1.026312976649518,1.0080353019944353,1.0412234976126507,1.0399201186219766
2009-01-13,0.9911285845595154,0.9919112040509106,0.9911285845595154,1.0144898570537944,0.9933676834834917,1.0180299521282195,1.0178217485445786
2009-01-14,0.989109154054236,0.9851963061708988,0.989109154054236,1.0015631571177257,0.98554279589167,1.0558820889540672,1.0557678584983077
2009-01-15,0.9825416311039029,0.9789688365742907,0.9825416311039029,1.0077127233576513,0.9805398267841545,1.0546633735518731,1.0542779819272234
2009-01-16,0.9915745214554559,0.987295923278003,0.9915745214554559,1.0117448144242318,0.9887795843631525,1.0730214658392343,1.0721579871240121
2009-01-19,0.9941077538913007,0.9887006896262466,0.9941077538913007,1.0093392619338817,0.9899462476903799,1.0842853359228264,1.0843811515705033
2009-01-20,0.9771631631474589,0.9712175211732916,0.9771631631474589,0.9849246521757505,0.9712304543146871,1.0874948390008645,1.0880330676152308
2009-01-21,0.9773856107945829,0.9730613018261817,0.9773856107945829,0.9982629287886948,0.9752311054036377,1.0858717821677366,1.087743231356641
2009-01-22,0.9765731651144235,0.9710071159811088,0.9765731651144235,0.9915010338870763,0.9723937040799548,1.096687922836126,1.0970277772730637
2009-01-23,0.9728461283202702,0.967853986124288,0.9728461283202702,0.9914143085224607,0.969755968568617,1.0905538901631058,1.090903080661026
