基金代码,DEPI,DEPI_Rank,调仓日期,区间,超额收益R,volatility,fee_rate,timing_alpha,timing_beta
159960,0.0,21,2022-06-30,2021-06~2022-06,-0.12738222181661574,0.2943558204353889,0.017499999999999998,-0.001304865296130313,4.6797996265119535
159971,0.0,24,2022-06-30,2021-06~2022-06,-0.037709472433103075,0.28132071401684394,0.017499999999999998,-0.0009075556779656317,5.633677883364741
013317,0.0,26,2022-06-30,2021-06~2022-06,-0.09413662801133516,0.253032617903237,0.017499999999999998,-0.0009088093198594164,3.2713582285060663
000167,0.0,30,2022-06-30,2021-06~2022-06,-0.09059214250094028,0.25147880232049147,0.017499999999999998,-0.0006207892350434723,1.696161126971786
013370,0.0,31,2022-06-30,2021-06~2022-06,-0.5282256075684748,0.1436669384640247,0.017499999999999998,0.0,0.0
014836,0.0,39,2022-06-30,2021-06~2022-06,-0.01553649100984511,0.31017623390571275,0.017499999999999998,-0.0011848939769013884,5.362619479735605
011848,0.0,1,2022-09-30,2021-09~2022-09,0.13642978111732995,0.19060423946016916,0.017499999999999998,0.00017634404361913997,2.1552091986050153
005008,0.0,1,2022-09-30,2021-09~2022-09,0.1690754395764832,0.033701090578409004,0.017499999999999998,-0.0001449626066580975,-0.026595830498794458
675043,0.0,1,2022-09-30,2021-09~2022-09,0.25046720839210246,0.006233073329823261,0.017499999999999998,5.721766293298919e-05,-0.1848636590862095
010322,0.0,1,2022-09-30,2021-09~2022-09,0.03612427566591947,0.2681911458890658,0.017499999999999998,0.0003285222110872877,-0.40800858679860863
009245,0.0,1,2022-09-30,2021-09~2022-09,0.205234547119297,0.030771367959792226,0.017499999999999998,0.00013741850557790822,-1.003523239555837
630008,0.0,1,2022-09-30,2021-09~2022-09,0.13821093845646237,0.2355223114300709,0.017499999999999998,0.000705577871512722,-1.5131717209133075
519943,0.0,1,2022-09-30,2021-09~2022-09,0.11013741610580519,0.07905196798193202,0.017499999999999998,-0.0004649180009502335,-0.5162419854750158
004390,0.0,1,2022-09-30,2021-09~2022-09,0.1937212016481581,0.3013177596803115,0.017499999999999998,0.0008003590083302197,0.16612604725951863
007377,0.0,1,2022-09-30,2021-09~2022-09,0.2566390169409778,0.008348231274603584,0.017499999999999998,6.892604281517377e-05,-0.10964134526859826
014200,0.0,1,2022-09-30,2021-09~2022-09,0.11481035331526535,0.17651753957075694,0.017499999999999998,0.0001661196325938438,0.008169051824175488
013594,0.0,1,2022-09-30,2021-09~2022-09,0.280676992010663,0.01895475948307661,0.017499999999999998,0.00016288042824442046,-0.26272714227262783
009322,0.0,1,2022-09-30,2021-09~2022-09,0.08096114244848618,0.17408869875877794,0.017499999999999998,0.0004043671150331155,-1.4888927505015481
006837,0.0,1,2022-09-30,2021-09~2022-09,0.2172170606626036,0.015660550497416423,0.017499999999999998,-7.019824162417555e-05,-0.15092954896934646
510530,0.0,1,2022-09-30,2021-09~2022-09,0.03903934909404172,0.20935710936294383,0.017499999999999998,0.0009015716742041929,-5.672958396576458
014958,0.0,1,2022-09-30,2021-09~2022-09,0.23973960548522188,0.13268252367892555,0.017499999999999998,0.0,0.0
006491,0.0,1,2022-09-30,2021-09~2022-09,0.2128279668873445,0.016236144687461155,0.017499999999999998,-8.98026629083305e-05,-0.16315936395949385
011033,0.0,1,2022-09-30,2021-09~2022-09,0.2057314798670986,0.04055289361976324,0.017499999999999998,0.00019054620790386062,-0.9177593716090903
008339,0.0,1,2022-09-30,2021-09~2022-09,0.2138406023835533,0.02569204134548138,0.017499999999999998,-6.191249440454461e-05,-0.4965638913743924
014836,0.0,1,2022-09-30,2021-09~2022-09,0.019573786488532585,0.2928765837406865,0.017499999999999998,-0.00047847048833632184,3.8992017248427406
159960,0.0,23,2022-09-30,2021-09~2022-09,-0.06899188744578133,0.28448561978553644,0.017499999999999998,-0.0011364868025765579,6.227741896681728
159639,0.0,27,2022-09-30,2021-09~2022-09,-0.14855307066878998,0.20960195196995346,0.017499999999999998,0.0,0.0
159971,0.0,28,2022-09-30,2021-09~2022-09,-0.06281687894429178,0.2648737393555502,0.017499999999999998,-0.0008158073251491396,5.098056316677309
013317,0.0,30,2022-09-30,2021-09~2022-09,-0.08599063042361754,0.24396724774510445,0.017499999999999998,-0.0008231389010246556,2.9370948158485333
000167,0.0,34,2022-09-30,2021-09~2022-09,-0.041423114188215204,0.2204443764673588,0.017499999999999998,-0.0006502156774867226,3.5381638884215407
013370,0.0,35,2022-09-30,2021-09~2022-09,-0.15659441730718915,0.19590309252746393,0.017499999999999998,-0.0009838258952357252,1.1995359848231468
011848,0.0,1,2022-12-31,2021-12~2022-12,0.1527880911945716,0.2342718496793474,0.017499999999999998,0.00012676012570627643,3.397687091119991
005008,0.0,1,2022-12-31,2021-12~2022-12,0.16714164713588364,0.038163816322047316,0.017499999999999998,-0.00015386253630209052,0.13166746443390978
010322,0.0,1,2022-12-31,2021-12~2022-12,0.01875373032226968,0.2866412358734326,0.017499999999999998,0.0003167247939699687,-0.8563333799442625
009245,0.0,1,2022-12-31,2021-12~2022-12,0.1778833195377464,0.03174578137324593,0.017499999999999998,3.9107368453807676e-05,-0.8642560540435917
630008,0.0,1,2022-12-31,2021-12~2022-12,0.16682386342189193,0.2509889700760565,0.017499999999999998,0.0011034077449830239,-3.436294720238163
519943,0.0,1,2022-12-31,2021-12~2022-12,0.0969871082023065,0.07925061573710494,0.017499999999999998,-0.0005223757558120918,-0.36534820810818375
004390,0.0,1,2022-12-31,2021-12~2022-12,0.044233943226063555,0.2965876985715413,0.017499999999999998,0.00035051024277472004,-1.6990776789541344
007377,0.0,1,2022-12-31,2021-12~2022-12,0.23104128718603922,0.008446116373133972,0.017499999999999998,-1.8729343557796246e-05,-0.07511858899312863
000167,0.0,1,2022-12-31,2021-12~2022-12,0.0071254442392229,0.24004881239528927,0.017499999999999998,-0.00032912475312670887,2.4873232868610473
009322,0.0,1,2022-12-31,2021-12~2022-12,0.048938465000991416,0.17644851070494677,0.017499999999999998,0.0003939472880246518,-2.366417931835026
013594,0.0,1,2022-12-31,2021-12~2022-12,0.24964825444754313,0.020214212950058503,0.017499999999999998,7.864567066947729e-05,-0.2482839483317146
006837,0.0,1,2022-12-31,2021-12~2022-12,0.1929891748482888,0.017069365711400407,0.017499999999999998,-0.00016089345663699203,-0.1089263103474369
510530,0.0,1,2022-12-31,2021-12~2022-12,0.02981026877967219,0.21663550655775612,0.017499999999999998,0.00100371618470707,-5.81210299824991
014958,0.0,1,2022-12-31,2021-12~2022-12,0.2419944372140802,0.24546014760929064,0.017499999999999998,0.0004959734501035975,4.150997273414487
006491,0.0,1,2022-12-31,2021-12~2022-12,0.2012115518819283,0.018166663443668678,0.017499999999999998,-0.00012645425586228163,-0.12513839190808929
159960,0.0,1,2022-12-31,2021-12~2022-12,0.1872926824990916,0.3164348169926677,0.017499999999999998,-3.424910033816121e-05,6.517225475740758
011033,0.0,1,2022-12-31,2021-12~2022-12,0.18931843235363133,0.045936980623810145,0.017499999999999998,0.00010435480026731391,-0.48156752729720415
008339,0.0,1,2022-12-31,2021-12~2022-12,0.1833507284627408,0.036870269231740756,0.017499999999999998,-0.00021959216988859764,-0.0950690715195743
675043,0.0,1,2022-12-31,2021-12~2022-12,0.23118693306774363,0.008847918580640773,0.017499999999999998,5.287142293937089e-06,-0.23289110661441595
159639,0.0,27,2022-12-31,2021-12~2022-12,-0.15607071143162032,0.22382594203255005,0.017499999999999998,-0.0006417678049676593,-1.772964076617681
159971,0.0,28,2022-12-31,2021-12~2022-12,-0.06234285491580738,0.27629874685605665,0.017499999999999998,-0.0005894533649519874,2.4792205954846933
013317,0.0,30,2022-12-31,2021-12~2022-12,-0.03931490170995744,0.2544129824122974,0.017499999999999998,-0.00033942159830258886,0.581700258788674
014200,0.0,32,2022-12-31,2021-12~2022-12,-0.038498542525916,0.17712065897607418,0.017499999999999998,-0.00028481440271653816,-0.6033410692604531
013370,0.0,35,2022-12-31,2021-12~2022-12,-0.18084041385727323,0.20394221025822776,0.017499999999999998,-0.0003889633356224025,-3.7440825446818007
014836,0.0,43,2022-12-31,2021-12~2022-12,-0.06433743918996304,0.2691676537633236,0.017499999999999998,-0.0003053617953735581,-0.8674545543556647
011848,0.0,1,2023-03-31,2022-03~2023-03,0.14625691539487218,0.2256935132648086,0.017499999999999998,3.573708782624838e-05,4.018364563060587
013594,0.0,1,2023-03-31,2022-03~2023-03,0.06855399464310363,0.01689211732037564,0.017499999999999998,6.702921169245619e-05,-0.19612659369932692
010322,0.0,1,2023-03-31,2022-03~2023-03,0.09356966306257386,0.26118851229157125,0.017499999999999998,0.0010495090902782262,-5.082389056329965
009245,0.0,1,2023-03-31,2022-03~2023-03,0.02733898779069588,0.027247002309599096,0.017499999999999998,-6.24297441140657e-05,-0.1827990843427259
630008,0.0,1,2023-03-31,2022-03~2023-03,0.291453423450006,0.23350207323462177,0.017499999999999998,0.0018157814170152709,-6.376485489283412
004390,0.0,1,2023-03-31,2022-03~2023-03,0.10044847303316351,0.2702371772546557,0.017499999999999998,0.0009874586646961628,-4.870202583854223
007377,0.0,1,2023-03-31,2022-03~2023-03,0.05688518997247749,0.007566639386773717,0.017499999999999998,1.035551465634941e-05,-0.08407180556280029
000167,0.0,1,2023-03-31,2022-03~2023-03,0.12085896337065705,0.2250558595274236,0.017499999999999998,0.00019861920600388325,2.135018927173786
005008,0.0,1,2023-03-31,2022-03~2023-03,0.02176410079478408,0.03786501091812876,0.017499999999999998,-0.0001276504119378707,0.19715954501767333
009322,0.0,1,2023-03-31,2022-03~2023-03,0.04000599156027784,0.15314380773005015,0.017499999999999998,0.0005813450127540092,-3.659155517225903
006837,0.0,1,2023-03-31,2022-03~2023-03,0.0247757485626392,0.015605627274370629,0.017499999999999998,-0.00011513325235684145,-0.08103520786679125
510530,0.0,1,2023-03-31,2022-03~2023-03,0.06162242893923586,0.19178136969477513,0.017499999999999998,0.001073943781370108,-6.540348013689511
014958,0.0,1,2023-03-31,2022-03~2023-03,0.13295973510726278,0.2278526124094059,0.017499999999999998,-6.546570949604083e-05,5.298867937331931
006491,0.0,1,2023-03-31,2022-03~2023-03,0.018308394918296833,0.018066432322151025,0.017499999999999998,-0.00011696076811609974,-0.2573383255031763
159960,0.0,1,2023-03-31,2022-03~2023-03,0.10875108083336593,0.27693163897517636,0.017499999999999998,-0.0002274875327475669,5.140426216035303
011033,0.0,1,2023-03-31,2022-03~2023-03,0.06129939777030924,0.044064115049161134,0.017499999999999998,7.705248537479314e-05,-0.0714892140021429
008339,0.0,1,2023-03-31,2022-03~2023-03,0.026133680471734144,0.02649750498025803,0.017499999999999998,-0.00015270318732939428,0.2500538190302637
014836,0.0,1,2023-03-31,2022-03~2023-03,0.03692684567479565,0.24823044217641485,0.017499999999999998,0.0007514050105809913,-4.82529680729614
016493,0.0,22,2023-03-31,2022-03~2023-03,-0.3217988061168058,0.12003783994441618,0.017499999999999998,0.0001837994059947092,-5.857048829875424
159639,0.0,27,2023-03-31,2022-03~2023-03,-0.13538715810049073,0.20432390705873468,0.017499999999999998,-0.00031451097839756896,-2.9082998580929376
159971,0.0,28,2023-03-31,2022-03~2023-03,-0.042672023078416665,0.24351158941944312,0.017499999999999998,-8.842587534884513e-06,-1.1053043125869717
013317,0.0,30,2023-03-31,2022-03~2023-03,-0.031173096344286777,0.22531950980592585,0.017499999999999998,0.0002585872373499852,-3.0791313906075026
014200,0.0,32,2023-03-31,2022-03~2023-03,-0.10536703887827603,0.17338278812854563,0.017499999999999998,-0.0005191041189697056,-0.07881350417527133
013370,0.0,35,2023-03-31,2022-03~2023-03,-0.0634172099332001,0.21010348852409538,0.017499999999999998,0.00046991624719652434,-6.163768181447872
519943,0.0,38,2023-03-31,2022-03~2023-03,-0.043361553859999624,0.06430078207503577,0.017499999999999998,-0.0004497306387399582,0.2904678858617474
675043,0.0,42,2023-03-31,2022-03~2023-03,-0.016582536551896565,0.06725175666975612,0.017499999999999998,-0.00034026962608027164,0.34624195870907304
011848,0.0,1,2023-06-30,2022-06~2023-06,0.008179266690780618,0.21409327281103732,0.017499999999999998,-0.00034945970324307856,4.408364267616203
000167,0.0,1,2023-06-30,2022-06~2023-06,0.0032276875144322537,0.19669255071968406,0.017499999999999998,-5.0023395422652e-05,0.7688197395954247
675043,0.0,1,2023-06-30,2022-06~2023-06,0.09817073594885395,0.06729091848674916,0.017499999999999998,-0.0003409754749177663,0.5046902532500123
009245,0.0,1,2023-06-30,2022-06~2023-06,0.10134219125343824,0.02639650037742674,0.017499999999999998,-5.600351130667385e-05,-1.0994529567719535
630008,0.0,1,2023-06-30,2022-06~2023-06,0.27831250874266933,0.19584531757789872,0.017499999999999998,0.0016258730723023294,-8.228942686889622
519943,0.0,1,2023-06-30,2022-06~2023-06,0.09975541015530698,0.048999999342043465,0.017499999999999998,-0.00032588296867469264,0.3139984169247317
004390,0.0,1,2023-06-30,2022-06~2023-06,0.02558415625000099,0.24056941625231246,0.017499999999999998,0.0006892652407652927,-8.126832043337156
007377,0.0,1,2023-06-30,2022-06~2023-06,0.17138726184901032,0.007408479633012147,0.017499999999999998,3.399710196261473e-05,-0.2643329773452771
013370,0.0,1,2023-06-30,2022-06~2023-06,0.09102573832290928,0.25710575108883377,0.017499999999999998,0.0016166045927755552,-14.561073114480957
005008,0.0,1,2023-06-30,2022-06~2023-06,0.13323012099276677,0.03654974776710437,0.017499999999999998,4.039049327495178e-05,-0.566164040573617
013594,0.0,1,2023-06-30,2022-06~2023-06,0.1942690636946759,0.016525243036950965,0.017499999999999998,0.0001366737716070402,-0.5238765586607433
009322,0.0,1,2023-06-30,2022-06~2023-06,0.045023202493290504,0.1194706031132123,0.017499999999999998,0.00032294444354084183,-3.6025037053437887
006837,0.0,1,2023-06-30,2022-06~2023-06,0.13793479319198243,0.015179162748623532,0.017499999999999998,-8.467571680486617e-05,-0.3558841241997306
510530,0.0,1,2023-06-30,2022-06~2023-06,0.0907808082022925,0.15061261369692824,0.017499999999999998,0.0008490994082595871,-6.022061249431794
006491,0.0,1,2023-06-30,2022-06~2023-06,0.13532606923140467,0.017324909609907103,0.017499999999999998,-9.073516835301312e-05,-0.4080405781443106
159960,0.0,1,2023-06-30,2022-06~2023-06,0.117186884471976,0.25334086637341796,0.017499999999999998,4.6491552238422195e-06,6.299798111426977
011033,0.0,1,2023-06-30,2022-06~2023-06,0.16439208503992042,0.042498957902882446,0.017499999999999998,0.00025233941097518045,-0.9150829081795664
008339,0.0,1,2023-06-30,2022-06~2023-06,0.12698090217198188,0.02792495741278087,0.017499999999999998,-0.00020268225989750942,0.4037300302384954
014836,0.0,1,2023-06-30,2022-06~2023-06,0.02518263811427701,0.2338222540443004,0.017499999999999998,0.0013370498028257936,-14.248815358725738
016493,0.0,23,2023-06-30,2022-06~2023-06,-0.08717926868046333,0.12297084492171433,0.017499999999999998,0.0004968709494380606,-8.203632520138031
014958,0.0,26,2023-06-30,2022-06~2023-06,-0.00327429496504672,0.21402813056408665,0.017499999999999998,-0.0006546751291899285,6.374455583978354
159639,0.0,28,2023-06-30,2022-06~2023-06,-0.09982020010171921,0.1967234665239439,0.017499999999999998,-0.0003672674076132788,-1.2307618685723083
159971,0.0,29,2023-06-30,2022-06~2023-06,-0.05626730466924201,0.20179628674128783,0.017499999999999998,0.0001332544171732605,-3.9125859420422247
013317,0.0,31,2023-06-30,2022-06~2023-06,-0.012318743734204496,0.18717416567289527,0.017499999999999998,0.00014965198006974386,-3.249779971035449
014200,0.0,33,2023-06-30,2022-06~2023-06,-0.08678214864861378,0.17796114172947167,0.017499999999999998,0.0003298837096399849,-8.999325250514332
010322,0.0,42,2023-06-30,2022-06~2023-06,-0.013193696102606789,0.22777775673669146,0.017499999999999998,0.0003084029882917839,-3.818073390187535
011848,0.0,1,2023-09-30,2022-09~2023-09,0.0004626392459716744,0.21695698442841613,0.017499999999999998,-0.00032953737773736447,3.610252621312572
