,CI005001.CI,CI005002.CI,CI005003.CI,CI005004.CI,CI005005.CI,CI005006.CI,CI005007.CI,CI005008.CI,CI005009.CI,CI005010.CI,CI005011.CI,CI005012.CI,CI005013.CI,CI005014.CI,CI005015.CI,CI005016.CI,CI005017.CI,CI005018.CI,CI005019.CI,CI005020.CI,CI005021.CI,CI005022.CI,CI005023.CI,CI005024.CI,CI005025.CI,CI005026.CI,CI005027.CI,CI005028.CI,CI005029.CI,CI005030.CI
date,石油石化,煤炭,有色金属,电力及公用事业,钢铁,基础化工,建筑,建材,轻工制造,机械,电力设备及新能源,国防军工,汽车,商贸零售,消费者服务,家电,纺织服装,医药,食品饮料,农林牧渔,银行,非银行金融,房地产,交通运输,电子,通信,计算机,传媒,综合,综合金融
2023-02-28,261.08,241.49,803.86,492.07,217.67,"1,120.81",258.54,403.73,193.86,"1,088.47","2,629.64",145.42,483.63,65.38,527.90,"1,234.39",31.72,"1,970.56","3,260.84",234.05,"1,448.61","1,200.73",253.99,592.54,"1,175.88",227.88,860.00,353.01,8.71,11.12
2023-03-31,272.06,212.61,812.81,535.61,184.91,"1,057.72",294.57,362.72,177.50,"1,085.58","2,530.55",141.84,475.78,75.62,491.01,"1,197.65",34.19,"1,962.82","3,245.66",224.64,"1,335.31","1,109.53",216.44,614.66,"1,405.73",242.09,"1,080.98",486.20,8.47,8.71
2023-04-28,321.01,220.29,830.17,573.49,185.21,"1,001.59",352.20,326.79,165.98,"1,075.01","2,809.62",142.15,465.84,86.06,429.63,"1,215.24",37.03,"1,956.34","3,032.89",213.76,"1,359.22","1,173.54",202.72,637.44,"1,252.24",234.63,979.44,524.00,8.62,9.78
2023-05-31,305.97,184.06,733.40,622.75,155.53,959.76,297.28,289.34,143.53,"1,044.48","2,713.78",136.86,480.51,79.98,323.56,"1,060.79",33.88,"1,907.63","2,728.26",180.03,"1,312.37","1,062.24",176.85,580.11,"1,322.52",245.95,943.55,530.65,10.58,9.63
2023-06-30,315.07,193.05,730.36,602.05,149.96,"1,020.59",305.04,310.20,142.02,"1,197.62","2,951.30",160.86,578.66,74.27,256.93,"1,318.91",39.08,"1,910.94","2,774.42",191.79,"1,308.45","1,018.14",178.40,571.35,"1,391.39",281.06,"1,033.29",557.86,9.68,10.40
2023-07-31,336.98,215.68,816.76,606.47,188.97,"1,082.95",338.37,350.98,162.57,"1,169.41","3,037.94",138.66,675.01,92.14,286.77,"1,366.09",44.76,"1,921.44","3,102.98",216.71,"1,479.48","1,274.85",230.89,626.63,"1,357.38",323.56,957.75,546.93,10.02,13.51
2023-08-31,325.54,200.21,710.45,594.51,171.11,958.67,289.17,333.99,138.82,"1,016.57","2,813.59",129.12,611.68,81.31,227.36,"1,303.99",44.68,"1,768.63","2,730.69",174.23,"1,239.39","1,167.89",209.54,540.65,"1,245.15",301.90,921.31,530.13,8.67,11.21
2023-09-28,333.75,234.03,681.69,582.96,165.04,914.74,273.70,303.78,141.23,973.18,"2,504.22",116.41,635.26,81.32,207.61,"1,302.86",50.62,"1,825.37","2,596.01",167.35,"1,302.69","1,058.64",172.18,526.44,"1,206.88",293.37,828.62,483.26,8.54,9.64
2023-10-31,305.35,225.30,650.47,603.06,160.74,931.48,243.19,265.17,133.82,830.45,"2,209.68",111.42,645.78,74.19,179.62,"1,214.04",49.10,"1,814.75","2,430.81",181.31,"1,209.93","1,003.63",152.27,499.50,"1,310.27",255.98,693.32,411.04,8.57,7.94
2023-11-30,305.32,250.90,580.84,616.72,152.74,863.04,213.77,222.56,117.21,805.19,"2,089.22",117.95,674.43,76.20,170.62,"1,197.68",51.85,"1,919.31","2,514.62",192.49,"1,129.43",938.37,152.47,496.53,"1,360.38",256.65,710.82,417.63,10.52,5.69
