trade_date,exchange_id,rzye,rzmre,rzche,rqye,rqmcl,rzrqye,rqyl
2017-06-27,SZSE,362654305822.0,18600676148.0,16862111226.0,936928223.0,12474211.0,363591234045.0,
2017-06-27,SSE,511457728296.0,19127295534.0,18670759045.0,3659056301.0,64898977.0,515116784597.0,
2017-06-28,SZSE,363689633943.0,17874971304.0,16839643183.0,990686634.0,18465952.0,364680320577.0,
2017-06-28,SSE,513378917370.0,19369329421.0,17448140347.0,3745049046.0,85900469.0,517123966416.0,
2017-06-29,SZSE,364647867791.0,18052275626.0,17094041778.0,964550410.0,14623358.0,365612418201.0,
2017-06-29,SSE,513501965352.0,17037839509.0,16914791527.0,3668495146.0,75301950.0,517170460498.0,
2017-06-30,SZSE,364078062665.0,16465745204.0,17035550330.0,925786047.0,11821551.0,365003848712.0,
2017-06-30,SSE,511528278042.0,14427929374.0,16401616684.0,3330077479.0,37369552.0,514858355521.0,
2017-07-03,SZSE,365028006156.0,18551532429.0,17601588938.0,942077447.0,16392621.0,365970083603.0,
2017-07-03,SSE,512479572751.0,17371993384.0,16420698675.0,3194858156.0,38596841.0,515674430907.0,
2017-07-04,SZSE,365761817146.0,19355177114.0,18621366124.0,956784369.0,16756867.0,366718601515.0,
2017-07-04,SSE,513157610530.0,17950741207.0,17272703428.0,3485847272.0,59544318.0,516643457802.0,
2017-07-05,SZSE,366412837230.0,19892357944.0,19241337860.0,956795643.0,16528842.0,367369632873.0,
2017-07-05,SSE,514487818603.0,19417095332.0,18086887259.0,3380513092.0,58945285.0,517868331695.0,
2017-07-06,SSE,514569648233.0,22940149474.0,22858319844.0,3701107459.0,71571363.0,518270755692.0,
2017-07-06,SZSE,366588652210.0,23360052982.0,23184238002.0,1034512564.0,18643028.0,367623164774.0,
2017-07-07,SSE,513724680300.0,21183754356.0,22028722289.0,3423148313.0,52979219.0,517147828613.0,
2017-07-07,SZSE,366252500650.0,21738837881.0,22074989441.0,959105280.0,16745028.0,367211605930.0,
2017-07-10,SZSE,367382764848.0,23706840982.0,22576576784.0,1023345071.0,20479443.0,368406109919.0,
2017-07-10,SSE,515392194701.0,25753060357.0,24085545956.0,3533303823.0,67990356.0,518925498524.0,
2017-07-11,SZSE,367502144444.0,21071842896.0,20952463300.0,982595041.0,14744254.0,368484739485.0,
2017-07-11,SSE,515329239075.0,24113515410.0,24176471036.0,3652257545.0,89902771.0,518981496620.0,
2017-07-12,SSE,515930473901.0,24077229893.0,23475995067.0,3674563887.0,69123264.0,519605037788.0,
2017-07-12,SZSE,368315080053.0,20869160670.0,20056225061.0,984836684.0,19506031.0,369299916737.0,
2017-07-13,SZSE,367324311851.0,18814164667.0,19804932869.0,1029662284.0,20358502.0,368353974135.0,
2017-07-13,SSE,517301034702.0,26124408643.0,24753847842.0,3920547029.0,83985652.0,521221581731.0,
2017-07-14,SZSE,365520865611.0,17111557714.0,18915003954.0,971835008.0,14061347.0,366492700619.0,
2017-07-14,SSE,515043617427.0,19950483266.0,22207900541.0,3732434542.0,55274211.0,518776051969.0,
2017-07-17,SZSE,361902012088.0,23648932492.0,27267786015.0,1016999943.0,26761676.0,362919012031.0,
2017-07-17,SSE,513668732540.0,31415272249.0,32790157136.0,3921384435.0,102895531.0,517590116975.0,
2017-07-18,SZSE,361796164951.0,16632744456.0,16738591593.0,1021930758.0,22594404.0,362818095709.0,
2017-07-18,SSE,513938473137.0,22721068351.0,22451327754.0,3630727039.0,59196595.0,517569200176.0,
2017-07-19,SSE,516645095697.0,33265674928.0,30559052368.0,3861512433.0,97240795.0,520506608130.0,
2017-07-19,SZSE,361459300476.0,22859968978.0,23196833453.0,1055668049.0,26974743.0,362514968525.0,
2017-07-20,SSE,516852513732.0,29596930867.0,29389512832.0,3835233677.0,67664070.0,520687747409.0,
2017-07-20,SZSE,362428582625.0,23478002941.0,22508720792.0,1091448267.0,19814306.0,363520030892.0,
2017-07-21,SSE,516927360025.0,26921358014.0,26846511721.0,3664013338.0,55729000.0,520591373363.0,
2017-07-21,SZSE,361362990936.0,19661569639.0,20727161328.0,984263637.0,15184522.0,362347254573.0,
2017-07-24,SZSE,363172216586.0,21722433458.0,19913207808.0,1017720746.0,17630232.0,364189937332.0,
2017-07-24,SSE,521007125367.0,31436994720.0,27357229378.0,3819562298.0,75105656.0,524826687665.0,
2017-07-25,SSE,523213040701.0,26338233274.0,24132317940.0,3843321662.0,79139914.0,527056362363.0,
2017-07-25,SZSE,364548709254.0,19710627372.0,18334134704.0,972441414.0,16858552.0,365521150668.0,
2017-07-26,SSE,525088165155.0,28506278901.0,26631154447.0,3726364371.0,69221980.0,528814529526.0,
2017-07-26,SZSE,365284731210.0,20498249095.0,19762227139.0,965311178.0,19258199.0,366250042388.0,
2017-07-27,SZSE,367367346077.0,26177422895.0,24094808028.0,1044326865.0,27493397.0,368411672942.0,
2017-07-27,SSE,526393111133.0,28928422645.0,27623476667.0,3672126096.0,74871485.0,530065237229.0,
2017-07-28,SZSE,366018130074.0,21249641857.0,22598857860.0,1037263683.0,25166518.0,367055393757.0,
2017-07-28,SSE,524828764794.0,23129529881.0,24693876220.0,3594552210.0,64850236.0,528423317004.0,
2017-07-31,SZSE,367685356105.0,26410488547.0,24743262516.0,1087571710.0,29636685.0,368772927815.0,
2017-07-31,SSE,528537955376.0,32291507628.0,28582317046.0,3749653632.0,88647581.0,532287609008.0,
2017-08-01,SSE,529231018478.0,31492038816.0,30798975714.0,3916761485.0,84229334.0,533147779963.0,
2017-08-01,SZSE,368331400540.0,25460976838.0,24814932403.0,1137784701.0,33032129.0,369469185241.0,
2017-08-02,SSE,532200383095.0,35890923633.0,32921559016.0,3831086862.0,74644104.0,536031469957.0,
2017-08-02,SZSE,369072577727.0,27088341834.0,26347164647.0,1108182889.0,25996800.0,370180760616.0,
2017-08-03,SZSE,370547472541.0,24274597752.0,22799702938.0,1054413292.0,22524615.0,371601885833.0,
2017-08-03,SSE,534879944654.0,30336073067.0,27656511508.0,3530499040.0,40101614.0,538410443694.0,
2017-08-04,SZSE,369286084881.0,24568994140.0,25830381800.0,1057151161.0,27720397.0,370343236042.0,
2017-08-04,SSE,532820207518.0,34969999502.0,37029736638.0,3598484776.0,61343935.0,536418692294.0,
2017-08-07,SSE,535636198766.0,29644034898.0,26828043650.0,3544692781.0,59775062.0,539180891547.0,
2017-08-07,SZSE,369722163849.0,18968010416.0,18531931448.0,1022648692.0,22142698.0,370744812541.0,
2017-08-08,SSE,534726199658.0,31299192096.0,32209191204.0,3722134478.0,83054330.0,538448334136.0,
2017-08-08,SZSE,369734485996.0,23515863814.0,23503541667.0,1124308210.0,31039788.0,370858794206.0,
2017-08-09,SZSE,370925499024.0,22986383338.0,21795370310.0,1116707919.0,34425959.0,372042206943.0,
2017-08-09,SSE,537368647820.0,30620320769.0,27977872607.0,3779979746.0,70474767.0,541148627566.0,
2017-08-10,SSE,537669007398.0,30265906808.0,29965547230.0,3739686127.0,92464047.0,541408693525.0,
2017-08-10,SZSE,370985194677.0,23319944395.0,23260248742.0,1058291442.0,33292223.0,372043486119.0,
2017-08-11,SSE,535356477158.0,31093642271.0,33406172511.0,3531912151.0,78369366.0,538888389309.0,
2017-08-11,SZSE,369512862164.0,22495982978.0,23968315491.0,997308088.0,35892024.0,370510170252.0,
2017-08-14,SSE,537632596431.0,26457875922.0,24181756649.0,3559045374.0,75469867.0,541191641805.0,
2017-08-14,SZSE,372246550889.0,22534837446.0,19801148721.0,1060092541.0,27582404.0,373306643430.0,
2017-08-15,SSE,539648893071.0,24658227869.0,22641931229.0,3796690082.0,111023637.0,543445583153.0,
2017-08-15,SZSE,372745867964.0,20520571463.0,20021254388.0,1083474584.0,27666166.0,373829342548.0,
2017-08-16,SSE,540868472055.0,24284974967.0,23065395983.0,3705165383.0,71078675.0,544573637438.0,
2017-08-16,SZSE,374044182317.0,23714103409.0,22415789056.0,1086142581.0,21392235.0,375130324898.0,
2017-08-17,SSE,542899045178.0,29645958008.0,27615384885.0,3873410862.0,85823074.0,546772456040.0,
2017-08-17,SZSE,374962435644.0,25084492279.0,24166238952.0,1073590969.0,27885560.0,376036026613.0,
2017-08-18,SSE,541748509333.0,25742169645.0,26892705490.0,3671141815.0,59752774.0,545419651148.0,
2017-08-18,SZSE,374318362951.0,20414722200.0,21058794893.0,1013329777.0,19219350.0,375331692728.0,
2017-08-21,SZSE,376035833416.0,21452523918.0,19735053453.0,1077578275.0,26503642.0,377113411691.0,
2017-08-21,SSE,543592415590.0,25636299098.0,23792392841.0,3497726367.0,51042065.0,547090141957.0,
2017-08-22,SZSE,376768883360.0,21376729837.0,20643679893.0,1077502446.0,17428654.0,377846385806.0,
2017-08-22,SSE,544897323822.0,26957110928.0,25652202696.0,3707097560.0,62929229.0,548604421382.0,
2017-08-23,SSE,545507089335.0,25055341612.0,24445576099.0,3675940145.0,56642185.0,549183029480.0,
2017-08-23,SZSE,376997559064.0,18564956839.0,18336281135.0,1071963017.0,18043103.0,378069522081.0,
2017-08-24,SZSE,376951699030.0,16446532537.0,16492392571.0,1020406806.0,21124641.0,377972105836.0,
2017-08-24,SSE,546833583828.0,21677814495.0,20351320002.0,3723296900.0,75922014.0,550556880728.0,
2017-08-25,SSE,546054164590.0,26559491663.0,27338910901.0,3733950169.0,106115480.0,549788114759.0,
2017-08-25,SZSE,376652174003.0,19549964812.0,19849489839.0,1004621111.0,23472166.0,377656795114.0,
2017-08-28,SSE,550835572748.0,38739064545.0,33957656387.0,4060209017.0,128456276.0,554895781765.0,
2017-08-28,SZSE,378370291462.0,29423021381.0,27704903922.0,1056059021.0,22334922.0,379426350483.0,
2017-08-29,SSE,553270011460.0,31750813945.0,29316375233.0,3787373917.0,73107712.0,557057385377.0,
2017-08-29,SZSE,379834960685.0,23798254830.0,22333585607.0,1036587080.0,16181149.0,380871547765.0,
2017-08-30,SSE,554844843413.0,34243309804.0,32668477851.0,3938428820.0,113980168.0,558783272233.0,
2017-08-30,SZSE,380283622180.0,22578036928.0,22129375433.0,1056676257.0,25611005.0,381340298437.0,
2017-08-31,SSE,559118232072.0,32852583691.0,28579195032.0,3729686695.0,73372891.0,562847918767.0,
2017-08-31,SZSE,382564050515.0,23366658332.0,21086229997.0,998231178.0,15628496.0,383562281693.0,
2017-09-01,SZSE,382716502942.0,27248847041.0,27096394614.0,1010388423.0,23345016.0,383726891365.0,
2017-09-01,SSE,560256965769.0,38145742306.0,37007008609.0,3782081767.0,87809515.0,564039047536.0,
2017-09-04,SSE,563595774171.0,36864790689.0,33525982287.0,3654909490.0,67574308.0,567250683661.0,
2017-09-04,SZSE,385247490012.0,29253515823.0,26722528753.0,985608896.0,19032804.0,386233098908.0,
2017-09-05,SSE,564749751259.0,28356786574.0,27202809486.0,3881841504.0,82912017.0,568631592763.0,
2017-09-05,SZSE,387140818040.0,26079147784.0,24185819756.0,1050744696.0,21597530.0,388191562736.0,
2017-09-06,SZSE,389464573621.0,30083782475.0,27760026894.0,1012959156.0,16972169.0,390477532777.0,
2017-09-06,SSE,567410040920.0,33756191922.0,31095902261.0,4096511043.0,115941833.0,571506551963.0,
2017-09-07,SZSE,392078380649.0,31001479378.0,28387672350.0,1068815091.0,25476544.0,393147195740.0,
2017-09-07,SSE,568069058625.0,32232266300.0,31573248595.0,3802840643.0,60695141.0,571871899268.0,
2017-09-08,SZSE,392077035132.0,25821935615.0,25823281132.0,1015653643.0,21445479.0,393092688775.0,
2017-09-08,SSE,568868703562.0,28649788248.0,27850143311.0,3624195663.0,52202743.0,572492899225.0,
2017-09-11,SZSE,395880476733.0,29625422738.0,25821981137.0,1002360241.0,17499394.0,396882836974.0,
2017-09-11,SSE,573227491085.0,33037857460.0,28679069937.0,3606202807.0,78307599.0,576833693892.0,
2017-09-12,SSE,575035344655.0,41786864214.0,39979010644.0,3673940363.0,80203908.0,578709285018.0,
2017-09-12,SZSE,398601992160.0,39507982648.0,36786467221.0,1064965803.0,21304504.0,399666957963.0,
2017-09-13,SSE,577341861552.0,28360523868.0,26054006971.0,3722482180.0,86246983.0,581064343732.0,
