,RiskParity,Momentum_k0.1,Momentum_k0.5,Momentum_k1.0,Momentum_k1.5,Momentum_k2.0
2019-02-20,0.011137868753762532,0.0036017359742652674,0.010083508505292601,0.010083508505292571,0.010083508505292587,0.010083508505292589
2019-02-21,-0.003572491813039629,-0.0026389290621340305,0.0040287950764783574,0.00402879507647834,0.00402879507647835,0.004028795076478351
2019-02-22,-0.0004481625336112002,0.022287985254740652,0.00647174077562144,0.006471740775621411,0.006471740775621433,0.0064717407756214275
2019-02-26,-0.01898072037064671,-0.011951541548121513,-0.006463007247932421,-0.006463007247932405,-0.006463007247932413,-0.006463007247932412
2019-02-27,0.008988421694088356,-0.001691903450020979,-0.000501899726221496,-0.0005018997262214923,-0.0005018997262214957,-0.0005018997262214953
2019-02-28,-0.0031707685338972684,-0.004163261085191238,-0.004163261085191211,-0.004163261085191212,-0.0041632610851912175,-0.00416326108519121
2019-03-01,-0.015449863677673406,-0.015253040950769901,-0.015253040950770555,-0.015253040950770555,-0.015253040950770595,-0.015253040950770545
2019-03-04,0.008461538461538532,0.008411856999336345,0.008411856999336319,0.008411856999336319,0.00841185699933633,0.008411856999336307
2019-03-05,0.0003051106025933017,0.0002968801487822356,0.0002968801487822015,0.00029688014878219936,0.0002968801487822012,0.0002968801487822006
2019-03-06,0.005490315693152516,0.005467676974560746,0.005467676974560775,0.005467676974560772,0.005467676974560784,0.005467676974560768
2019-03-07,0.002426816320339792,0.0023831170364391175,0.0023831170364393985,0.002383117036439395,0.0023831170364394067,0.0023831170364393933
2019-03-08,-0.004236646996519994,-0.004331330943683812,-0.0043313309436832275,-0.004331330943683227,-0.00433133094368322,-0.0043313309436832205
2019-03-11,0.012460112444917107,0.012412825754967478,0.012412825754967428,0.012412825754967426,0.012412825754967447,0.01241282575496742
2019-03-12,0.002851568362599397,0.0028766856773670526,0.002876685677366811,0.0028766856773668197,0.0028766856773668114,0.0028766856773668166
2019-03-13,0.012271774917689486,0.012133408828631278,0.012133408828631701,0.012133408828631701,0.012133408828631733,0.012133408828631696
2019-03-14,-0.006800709639266616,-0.006782096629969929,-0.006782096629970032,-0.006782096629970028,-0.006782096629970041,-0.006782096629970025
2019-03-15,-0.0023816612086931923,-0.002318552096209927,-0.002318552096210191,-0.0023185520962101915,-0.0023185520962102023,-0.002318552096210188
2019-03-18,0.006117576842733768,0.006114265303204597,0.006114265303204268,0.006114265303204267,0.006114265303204274,0.006114265303204251
2019-03-19,0.00415245439715251,0.004113229589884846,0.004113229589884961,0.004113229589884961,0.0041132295898849685,0.004113229589884958
2019-03-20,0.008713631664451365,0.008620841128074489,0.008620841128074723,0.008620841128074723,0.008620841128074742,0.00862084112807472
2019-03-22,-0.00974313551815766,-0.009691373767367584,-0.009691373767367813,-0.00969137376736781,-0.009691373767367829,-0.009691373767367811
2019-03-25,0.0032796660703637475,0.0031621132016673133,0.003162113201667959,0.0031621132016679495,0.0031621132016679777,0.0031621132016679456
2019-03-26,0.010846953937592838,0.010769043372893085,0.010769043372893335,0.010769043372893344,0.010769043372893356,0.010769043372893338
2019-03-27,-0.002939879464942007,-0.0029110835181748542,-0.00291108351817509,-0.0029110835181750906,-0.0029110835181750984,-0.002911083518175089
2019-03-28,0.0025062656641603445,0.0024535588615850162,0.002453558861585145,0.0024535588615851437,0.002453558861585154,0.002453558861585143
2019-03-29,0.005735294117647196,0.005759171003113345,0.005759171003112958,0.005759171003112954,0.0057591710031129565,0.005759171003112953
2019-04-01,0.011258955987717478,0.01126534941719641,0.011265349417196147,0.011265349417196147,0.011265349417196155,0.011265349417196145
2019-04-02,0.005928282244071611,0.005880495718963883,0.005880495718963995,0.005880495718963995,0.005880495718964006,0.005880495718963989
2019-04-03,-0.0007187005893344059,-0.000671622817156983,-0.0006716228171573023,-0.0006716228171572975,-0.0006716228171573087,-0.0006716228171572975
2019-04-04,-0.003020713463751321,-0.0029764719184240235,-0.0029764719184241658,-0.0029764719184241697,-0.002976471918424175,-0.0029764719184241675
