trade_date,code,close,open,high,low,volume,sec_name
2021-02-24,801110.SI,9822.05,9931.79,10051.9,9701.19,830345000.0,家用电器(申万)
2021-02-24,801080.SI,4737.12,4779.01,4847.92,4682.26,5260610000.0,电子(申万)
2021-02-24,801760.SI,718.95,718.76,728.78,713.81,2982820000.0,传媒(申万)
2021-02-24,801740.SI,1600.05,1607.23,1628.4,1574.21,1306140000.0,国防军工(申万)
2021-02-24,801210.SI,13610.6,14169.0,14275.8,13483.8,442385000.0,社会服务(申万)
2021-02-24,801040.SI,2463.21,2521.17,2535.47,2451.24,3347140000.0,钢铁(申万)
2021-02-24,801170.SI,2422.64,2451.14,2459.02,2399.49,2232910000.0,交通运输(申万)
2021-02-24,801230.SI,2388.21,2440.17,2444.76,2376.49,471360000.0,综合(申万)
2021-02-24,801020.SI,2565.49,2613.33,2633.93,2545.61,2453430000.0,采掘(申万)(退市)
2021-02-24,801790.SI,2134.36,2143.03,2169.95,2113.35,2819440000.0,非银金融(申万)
2021-02-24,801880.SI,5692.18,5840.79,5889.19,5636.83,2479610000.0,汽车(申万)
2021-02-24,801120.SI,28734.6,30203.6,30205.1,28419.5,1127920000.0,食品饮料(申万)
2021-02-24,801730.SI,8681.63,9033.5,9064.46,8548.22,3518520000.0,电力设备(申万)
2021-02-24,801200.SI,3111.13,3121.48,3136.32,3090.89,1046650000.0,商贸零售(申万)
2021-02-24,801030.SI,4180.87,4306.09,4328.89,4150.06,8414640000.0,基础化工(申万)
2021-02-24,801180.SI,3778.88,3761.53,3827.41,3749.55,2377860000.0,房地产(申万)
2021-02-24,801750.SI,4896.73,4929.6,4986.21,4853.51,2850010000.0,计算机(申万)
2021-02-24,801010.SI,4381.39,4411.91,4512.09,4347.01,1808350000.0,农林牧渔(申万)
2021-02-24,801140.SI,2786.35,2844.14,2844.14,2768.17,2021570000.0,轻工制造(申万)
2021-02-24,801710.SI,8234.43,8420.98,8519.58,8153.4,1042710000.0,建筑材料(申万)
2021-02-24,801050.SI,4789.8,4986.08,5062.41,4742.53,8725570000.0,有色金属(申万)
2021-02-24,801160.SI,1938.52,1948.19,1955.14,1925.9,2950600000.0,公用事业(申万)
2021-02-24,801770.SI,1997.74,1999.84,2025.16,1981.37,993157000.0,通信(申万)
2021-02-24,801780.SI,4123.7,4204.54,4204.54,4095.71,3628110000.0,银行(申万)
2021-02-24,801890.SI,1604.4,1631.44,1641.08,1592.82,3851320000.0,机械设备(申万)
2021-02-25,801130.SI,1716.11,1727.86,1732.36,1713.63,628535000.0,纺织服饰(申万)
2021-02-25,801720.SI,1979.83,1960.02,1995.11,1956.27,2812900000.0,建筑装饰(申万)
2021-02-25,801150.SI,12122.4,12233.5,12289.2,12085.1,2447340000.0,医药生物(申万)
2021-02-25,801110.SI,9859.69,9849.78,9957.98,9784.33,787217000.0,家用电器(申万)
2021-02-25,801080.SI,4703.63,4764.77,4769.16,4697.22,4220870000.0,电子(申万)
2021-02-25,801760.SI,713.89,723.75,724.61,713.42,2639290000.0,传媒(申万)
2021-02-25,801740.SI,1625.02,1599.78,1647.1,1596.31,1171290000.0,国防军工(申万)
2021-02-25,801210.SI,13734.5,13837.9,14003.6,13523.3,363763000.0,社会服务(申万)
2021-02-25,801040.SI,2491.07,2499.13,2526.75,2486.11,4014240000.0,钢铁(申万)
2021-02-25,801170.SI,2444.34,2443.39,2457.44,2433.91,2145610000.0,交通运输(申万)
2021-02-25,801230.SI,2351.71,2400.63,2401.3,2350.32,391391000.0,综合(申万)
2021-02-25,801020.SI,2567.07,2609.51,2624.35,2562.8,2253270000.0,采掘(申万)(退市)
2021-02-25,801790.SI,2171.33,2148.53,2194.44,2131.3,3229160000.0,非银金融(申万)
2021-02-25,801880.SI,5662.19,5766.48,5766.48,5642.84,2092920000.0,汽车(申万)
2021-02-25,801120.SI,28308.2,28932.1,29044.5,28029.5,885727000.0,食品饮料(申万)
2021-02-25,801730.SI,8558.37,8818.52,8818.52,8536.37,2853250000.0,电力设备(申万)
2021-02-25,801200.SI,3099.14,3124.11,3124.11,3090.74,1127210000.0,商贸零售(申万)
2021-02-25,801030.SI,4151.02,4258.91,4266.84,4143.35,7300640000.0,基础化工(申万)
2021-02-25,801180.SI,4010.56,3812.32,4053.11,3812.3,4947640000.0,房地产(申万)
2021-02-25,801750.SI,4821.47,4922.98,4922.98,4814.83,2335340000.0,计算机(申万)
2021-02-25,801010.SI,4367.4,4425.09,4425.09,4343.66,1807970000.0,农林牧渔(申万)
2021-02-25,801140.SI,2769.33,2805.91,2808.84,2761.95,1731570000.0,轻工制造(申万)
2021-02-25,801710.SI,8369.48,8334.68,8393.18,8183.84,1066220000.0,建筑材料(申万)
2021-02-25,801050.SI,4744.31,4935.99,4935.99,4721.81,7516700000.0,有色金属(申万)
2021-02-25,801160.SI,1936.96,1944.47,1944.47,1931.11,2558500000.0,公用事业(申万)
2021-02-25,801770.SI,1988.53,2016.43,2016.43,1987.3,1019900000.0,通信(申万)
2021-02-25,801780.SI,4186.36,4158.31,4217.36,4139.05,3946710000.0,银行(申万)
2021-02-25,801890.SI,1605.99,1614.51,1622.5,1591.15,3678230000.0,机械设备(申万)
2021-02-26,801130.SI,1711.41,1697.21,1715.59,1692.31,652814000.0,纺织服饰(申万)
